count,leaf,parent,cheapest_sku,cheapest_cpg
4881,Candied Fruit,Pantry > Baking Decorations,Fancy Sprinkles Rainbow Baking Confetti with Sprinkles ,2.191396673662675
2562,Cookie Crumbs,Pantry > Baking Mixes,"Pearl Milling Company Self-Rising White Corn Meal Mix, ",0.19047954990387836
1054,Creme Fraiche,Dairy > Cream,"Pepsi Soda Wild Cherry And Cream 12 fl oz, 12 Count Can",0.1408919020970351
1015,Lemon Extract,Pantry > Baking Extracts,"Watkins Pure Lemon Extract, 32 fl oz (Liquids, plastic ",2.2750519891118737
639,Hot Dog,Frozen > Appetizers,"Jose Ole Beef & Cheese Mini Tacos, Frozen Mexican Food,",0.05643838515670471
635,Peppermint Extract,Pantry > Baking Extracts,"Watkins Pure Lemon Extract, 32 fl oz (Liquids, plastic ",2.2750519891118737
373,Ladyfingers,Bakery > Cookies,Little Dutch Boy Bakery Semi-Sweet Baked Soft Chocolate,0.03506402649244675
359,Kaiser Rolls,Bakery > Rolls,"Marketside Brioche Slider Rolls, Shelf-Stable, Regular,",0.08644562815237376
327,Shredded Coconut,Pantry,"Sun-Bird Fried Rice Seasoning Mix, .74oz",0.06578122594278082
291,Squash,Frozen > Vegetables,Kroger® Traditional Favorites Frozen Sweet Corn Tots,0.272938713428386
278,Baby Arugula,Produce > Vegetables,Anaheim Pepper,0.3
276,Bacon Fat,Dairy > Butter,"Challenge Butter, Salted Butter Quarter Sticks, 16 oz, ",0.2358948129596642
256,Collard Greens,Frozen > Vegetables,Kroger® Traditional Favorites Frozen Sweet Corn Tots,0.272938713428386
249,Dried Shiitake Mushrooms,Pantry > Dried Vegetables,"Augason Farms Dehydrated Diced Carrots Can, Emergency F",2.137962962962963
244,Greens,Produce > Vegetables,Anaheim Pepper,0.3
240,Radicchio,Produce > Vegetables,Anaheim Pepper,0.3
227,Masa Harina,Pantry > Flour,"Great Value All-Purpose Unbleached Flour, 5 lb Bag",0.08686220215524083
207,Tangerines,Produce > Fruit,Fresh Blood Orange,0.2755780525229722
207,Plant Based Butter,Pantry,"Sun-Bird Fried Rice Seasoning Mix, .74oz",0.06578122594278082
207,Mixed Baby Greens,Produce > Vegetables,Anaheim Pepper,0.3
165,Peppermint Extract,Pantry > Baking Extracts,"Watkins Pure Lemon Extract, 32 fl oz (Liquids, plastic ",2.2750519891118737
164,Duck Breast,Meat & Seafood > Poultry,Foster Farms Fresh & Natural Cage Free Chicken Gizzards,0.3042381699853613
161,Apricots,Pantry > Canned Fruit,"Bolis Assorted Fruit Flavors Icesticks, 19.2 fl oz",0.1479394152870729
154,Smoked Turkey,Meat & Seafood > Poultry,Foster Farms Fresh & Natural Cage Free Chicken Gizzards,0.3042381699853613
148,Yams,Pantry > Canned Vegetables,"Great Value Light Red Kidney Beans, 1 lb",0.2689641792624209
