csv_line,recipe_id,recipe_name,concept_key,priced_concept_key,resolution_tier,picked_sku,issue_type,severity,message,expected
7,478938,Sticky Bagels,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
14,40465,Heart's Desire Mini Pizzas,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
26,513007,Carrot Bean Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
34,17525,Chili-Cheese Burritos,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
61,36597,Beans 'n Wiener Biscuit Casserole,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
63,36597,Beans 'n Wiener Biscuit Casserole,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
80,237670,Baked Stuffed Hot Dogs with Cheesy Pork Beans,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,Pantry > Sweeteners > Sugar > Brown Sugar|C00J000W,form_only,Madhava Organic Light Blue Agave Nectar,wrong_class,blocker,Brown sugar concept selected liquid sweetener.,brown sugar
81,237670,Baked Stuffed Hot Dogs with Cheesy Pork Beans,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
101,255782,Canadian Cheese Soup,Produce > Vegetables > Baby Carrots|6102000N,Produce > Vegetables > Baby Carrots|6102000N,form_only,Libby's® Peas & Carrots 4-4 oz. Cups,wrong_class,blocker,Fresh baby carrot concept selected canned/mixed carrots.,fresh baby carrots
109,255782,Canadian Cheese Soup,Dairy > Cheese > Cheddar|1101000H,Dairy > Cheese > Cheddar|1101000H,exact,"Great Value Sharp Cheddar Cheese Snack, 9 oz Bag, 12 Cheese ",wrong_class,blocker,Cheddar concept selected snack/bite cheese packaging.,standard cheddar block/slice/shred package
