fndds_code,protein_g,fat_g,carbs_g,fiber_g,sugar_g,energy_kcal,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg,sat_fat_g,trans_fat_g,mufa_g,pufa_g,dha_g,epa_g,ala_g,linoleic_g,cholesterol_mg
11100000,3.33,2.14,4.83,0.0,4.88,52.0,58.0,0.057,0.137,0.11,0.0,0.061,1.0,0.56,0.1,1.1,0.03,0.2,125.0,0.0,12.0,103.0,156.0,39.0,0.43,0.001,0.0,1.9,1.249,0.0,0.458,0.07,0.0,0.0,0.008,0.074,9.0
11111000,3.27,3.2,4.63,0.0,4.81,61.0,32.0,0.056,0.138,0.105,0.0,0.061,0.0,0.54,0.0,1.1,0.05,0.3,123.0,0.0,12.0,101.0,150.0,38.0,0.42,0.001,0.0,1.9,1.86,0.0,0.688,0.108,0.0,0.001,0.013,0.115,12.0
11111002,3.27,3.2,4.63,0.0,4.81,61.0,32.0,0.056,0.138,0.105,0.0,0.061,0.0,0.54,0.0,1.1,0.05,0.3,123.0,0.0,12.0,101.0,150.0,38.0,0.42,0.001,0.0,1.9,1.86,0.0,0.688,0.108,0.0,0.001,0.013,0.115,12.0
11111088,3.27,3.2,4.63,0.0,4.81,61.0,32.0,0.056,0.138,0.105,0.0,0.061,0.0,0.54,0.0,1.1,0.05,0.3,123.0,0.0,12.0,101.0,150.0,38.0,0.42,0.001,0.0,1.9,1.86,0.0,0.688,0.108,0.0,0.001,0.013,0.115,12.0
11112110,3.36,1.9,4.9,0.0,4.89,50.0,83.0,0.059,0.137,0.112,0.0,0.061,2.0,0.55,0.2,1.1,0.03,0.2,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,0.0,1.8,1.11,0.0,0.4,0.058,0.0,0.0,0.007,0.061,8.0
11112210,3.38,0.95,5.18,0.0,4.96,43.0,58.0,0.057,0.14,0.113,0.0,0.06,2.0,0.61,0.0,1.1,0.02,0.1,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,0.0,2.1,0.568,0.0,0.21,0.032,0.0,0.0,0.004,0.033,5.0
11113000,3.43,0.08,4.92,0.0,5.05,34.0,64.0,0.056,0.131,0.118,0.0,0.058,2.0,0.58,0.0,1.1,0.0,0.0,132.0,0.0,12.0,107.0,167.0,41.0,0.45,0.002,0.0,2.0,0.049,0.0,0.017,0.006,0.0,0.0,0.0,0.005,3.0
11114300,3.38,0.95,5.18,0.0,4.96,43.0,58.0,0.057,0.14,0.113,0.0,0.06,2.0,0.61,0.0,1.1,0.02,0.1,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,0.0,2.1,0.568,0.0,0.21,0.032,0.0,0.0,0.004,0.033,5.0
11114320,3.43,0.08,4.92,0.0,5.05,34.0,64.0,0.056,0.131,0.118,0.0,0.058,2.0,0.58,0.0,1.1,0.0,0.0,132.0,0.0,12.0,107.0,167.0,41.0,0.45,0.002,0.0,2.0,0.049,0.0,0.017,0.006,0.0,0.0,0.0,0.005,3.0
11114330,3.36,1.9,4.9,0.0,4.89,50.0,83.0,0.059,0.137,0.112,0.0,0.061,2.0,0.55,0.2,1.1,0.03,0.2,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,0.0,1.8,1.11,0.0,0.4,0.058,0.0,0.0,0.007,0.061,8.0
11114350,3.27,3.2,4.63,0.0,4.81,61.0,32.0,0.056,0.138,0.105,0.0,0.061,0.0,0.54,0.0,1.1,0.05,0.3,123.0,0.0,12.0,101.0,150.0,38.0,0.42,0.001,0.0,1.9,1.86,0.0,0.688,0.108,0.0,0.001,0.013,0.115,12.0
11114351,3.27,3.2,4.63,0.0,4.81,61.0,32.0,0.056,0.138,0.105,0.0,0.061,0.0,0.54,0.0,1.1,0.05,0.3,123.0,0.0,12.0,101.0,150.0,38.0,0.42,0.001,0.0,1.9,1.86,0.0,0.688,0.108,0.0,0.001,0.013,0.115,12.0
11115000,3.27,3.2,4.63,0.0,4.81,61.0,32.0,0.056,0.138,0.105,0.0,0.061,0.0,0.54,0.0,1.1,0.05,0.3,123.0,0.0,12.0,101.0,150.0,38.0,0.42,0.001,0.0,1.9,1.86,0.0,0.688,0.108,0.0,0.001,0.013,0.115,12.0
11115300,3.46,1.08,4.81,0.0,5.36,43.0,36.0,0.048,0.196,0.128,0.0,0.039,5.0,0.22,1.0,0.5,0.05,0.1,120.0,0.01,11.0,92.0,158.0,92.0,0.43,0.001,0.0,2.0,0.552,0.0,0.199,0.033,0.0,0.0,0.013,0.022,5.0
11115301,3.46,1.08,4.81,0.0,5.36,43.0,36.0,0.048,0.196,0.128,0.0,0.039,5.0,0.22,1.0,0.5,0.05,0.1,120.0,0.01,11.0,92.0,158.0,92.0,0.43,0.001,0.0,2.0,0.552,0.0,0.199,0.033,0.0,0.0,0.013,0.022,5.0
11115400,3.59,0.96,7.48,0.0,6.91,52.0,174.0,0.03,0.172,0.128,0.0,0.059,18.0,0.3,0.8,1.0,0.04,0.6,124.0,0.04,12.0,100.0,159.0,38.0,0.45,0.009,0.0,3.6,0.596,0.0,0.286,0.047,0.0,0.0,0.006,0.038,5.0
11115401,3.59,0.96,7.48,0.0,6.91,52.0,174.0,0.03,0.172,0.128,0.0,0.059,18.0,0.3,0.8,1.0,0.04,0.6,124.0,0.04,12.0,100.0,159.0,38.0,0.45,0.009,0.0,3.6,0.596,0.0,0.286,0.047,0.0,0.0,0.006,0.038,5.0
11116000,3.56,4.14,4.45,0.0,4.45,69.0,57.0,0.048,0.138,0.277,0.0,0.046,1.0,0.07,1.3,1.3,0.07,0.3,134.0,0.05,14.0,111.0,204.0,50.0,0.3,0.046,0.0,1.4,2.667,0.0,1.109,0.149,0.0,0.0,0.04,0.109,11.0
11120000,3.2,0.07,4.6,0.0,4.6,32.0,58.0,0.037,0.137,0.084,0.0,0.032,4.0,0.36,0.6,1.0,0.0,0.0,114.0,0.03,11.0,86.0,159.0,51.0,0.37,0.013,0.0,2.4,0.044,0.0,0.018,0.003,0.0,0.0,0.001,0.002,2.0
11121100,4.01,4.08,5.86,0.0,5.86,76.0,39.0,0.043,0.184,0.099,0.0,0.046,6.0,0.5,1.3,1.6,0.09,0.3,142.0,0.07,14.0,118.0,203.0,60.0,0.52,0.021,0.0,2.5,2.554,0.0,1.209,0.101,0.0,0.0,0.031,0.07,15.0
11121210,4.01,4.08,5.86,0.0,5.86,76.0,39.0,0.043,0.184,0.099,0.0,0.046,6.0,0.5,1.3,1.6,0.09,0.3,142.0,0.07,14.0,118.0,203.0,60.0,0.52,0.021,0.0,2.5,2.554,0.0,1.209,0.101,0.0,0.0,0.031,0.07,15.0
11121300,4.01,4.08,5.86,0.0,5.86,76.0,39.0,0.043,0.184,0.099,0.0,0.046,6.0,0.5,1.3,1.6,0.09,0.3,142.0,0.07,14.0,118.0,203.0,60.0,0.52,0.021,0.0,2.5,2.554,0.0,1.209,0.101,0.0,0.0,0.031,0.07,15.0
11210050,6.81,7.56,10.04,0.0,10.04,134.0,65.0,0.047,0.316,0.194,0.0,0.05,8.0,0.16,1.9,2.0,0.14,0.5,261.0,0.19,24.0,203.0,303.0,106.0,0.77,0.016,0.0,2.3,4.591,0.0,2.335,0.245,0.0,0.0,0.078,0.167,29.0
11211050,6.81,7.56,10.04,0.0,10.04,134.0,65.0,0.047,0.316,0.194,0.0,0.05,8.0,0.16,1.9,2.0,0.14,0.5,261.0,0.19,24.0,203.0,303.0,106.0,0.77,0.016,0.0,2.3,4.591,0.0,2.335,0.245,0.0,0.0,0.078,0.167,29.0
11211400,7.42,1.96,11.15,0.0,11.15,92.0,131.0,0.044,0.304,0.171,0.0,0.054,9.0,0.24,1.2,2.0,0.05,0.2,285.0,0.28,27.0,192.0,326.0,113.0,0.88,0.016,0.0,2.5,1.214,0.0,0.569,0.071,0.0,0.0,0.028,0.044,8.0
11212050,7.55,0.2,11.35,0.0,11.35,78.0,118.0,0.045,0.309,0.174,0.0,0.055,9.0,0.24,1.2,2.0,0.0,0.0,290.0,0.29,27.0,195.0,332.0,115.0,0.9,0.016,0.0,2.5,0.121,0.0,0.062,0.006,0.0,0.0,0.002,0.004,4.0
11220000,7.91,8.7,54.4,0.0,54.4,321.0,74.0,0.09,0.416,0.21,0.0,0.051,11.0,0.44,2.6,0.2,0.16,0.6,284.0,0.19,26.0,253.0,371.0,127.0,0.94,0.015,0.0,14.8,5.486,0.0,2.427,0.337,0.0,0.0,0.121,0.216,34.0
11300100,1.14,1.6,3.04,0.1,2.03,31.0,35.0,0.017,0.038,0.1,0.0,0.012,4.0,0.38,0.0,1.0,2.07,0.9,153.0,0.32,10.0,35.0,52.0,51.0,0.2,0.039,0.0,0.7,0.159,0.0,0.782,0.509,0.0,0.0,0.063,0.447,0.0
11320000,3.41,2.05,5.22,0.0,4.53,53.0,56.0,0.06,0.081,0.227,0.0,0.053,19.0,0.37,0.0,0.7,0.15,2.9,97.0,0.52,21.0,66.0,152.0,33.0,0.3,0.104,0.0,1.8,0.301,0.0,0.399,1.104,0.0,0.0,0.159,0.949,0.0
11320001,3.41,2.05,5.22,0.0,4.53,53.0,56.0,0.06,0.081,0.227,0.0,0.053,19.0,0.37,0.0,0.7,0.15,2.9,97.0,0.52,21.0,66.0,152.0,33.0,0.3,0.104,0.0,1.8,0.301,0.0,0.399,1.104,0.0,0.0,0.159,0.949,0.0
11320002,3.41,2.05,5.22,0.0,4.53,53.0,56.0,0.06,0.081,0.227,0.0,0.053,19.0,0.37,0.0,0.7,0.15,2.9,97.0,0.52,21.0,66.0,152.0,33.0,0.3,0.104,0.0,1.8,0.301,0.0,0.399,1.104,0.0,0.0,0.159,0.949,0.0
11320005,3.41,2.05,5.22,0.0,4.53,53.0,56.0,0.06,0.081,0.227,0.0,0.053,19.0,0.37,0.0,0.7,0.15,2.9,97.0,0.52,21.0,66.0,152.0,33.0,0.3,0.104,0.0,1.8,0.301,0.0,0.399,1.104,0.0,0.0,0.159,0.949,0.0
11320007,3.41,2.05,5.22,0.0,4.53,53.0,56.0,0.06,0.081,0.227,0.0,0.053,19.0,0.37,0.0,0.7,0.15,2.9,97.0,0.52,21.0,66.0,152.0,33.0,0.3,0.104,0.0,1.8,0.301,0.0,0.399,1.104,0.0,0.0,0.159,0.949,0.0
11320100,3.55,2.12,1.29,0.0,0.56,38.0,58.0,0.063,0.084,0.236,0.0,0.055,20.0,0.39,0.0,0.7,0.16,3.0,101.0,0.54,22.0,69.0,158.0,34.0,0.31,0.108,0.0,1.9,0.314,0.0,0.416,1.15,0.0,0.0,0.166,0.989,0.0
11320102,3.55,2.12,1.29,0.0,0.56,38.0,58.0,0.063,0.084,0.236,0.0,0.055,20.0,0.39,0.0,0.7,0.16,3.0,101.0,0.54,22.0,69.0,158.0,34.0,0.31,0.108,0.0,1.9,0.314,0.0,0.416,1.15,0.0,0.0,0.166,0.989,0.0
11320200,3.55,2.12,1.29,0.0,0.56,38.0,58.0,0.063,0.084,0.236,0.0,0.055,20.0,0.39,0.0,0.7,0.16,3.0,101.0,0.54,22.0,69.0,158.0,34.0,0.31,0.108,0.0,1.9,0.314,0.0,0.416,1.15,0.0,0.0,0.166,0.989,0.0
11321000,3.35,2.03,8.32,0.1,7.49,64.0,54.0,0.059,0.08,0.225,0.0,0.051,19.0,0.36,0.0,0.6,0.15,2.8,94.0,0.55,22.0,66.0,151.0,32.0,0.31,0.112,0.0,1.8,0.315,0.0,0.399,1.068,0.0,0.0,0.154,0.918,0.0
11321002,3.35,2.03,8.32,0.1,7.49,64.0,54.0,0.059,0.08,0.225,0.0,0.051,19.0,0.36,0.0,0.6,0.15,2.8,94.0,0.55,22.0,66.0,151.0,32.0,0.31,0.112,0.0,1.8,0.315,0.0,0.399,1.068,0.0,0.0,0.154,0.918,0.0
11321100,3.35,2.03,8.32,0.1,7.49,64.0,54.0,0.059,0.08,0.225,0.0,0.051,19.0,0.36,0.0,0.6,0.15,2.8,94.0,0.55,22.0,66.0,151.0,32.0,0.31,0.112,0.0,1.8,0.315,0.0,0.399,1.068,0.0,0.0,0.154,0.918,0.0
