ndb,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg
18634,307.0,5.88,13.24,41.18,1.2,5.88,1059.0
18635,330.0,4.34,11.27,53.42,1.4,21.34,780.0
18637,377.0,6.1,3.7,79.8,0.0,0.0,2182.0
18639,232.0,8.0,1.8,46.0,0.0,0.0,345.0
18932,273.0,6.58,9.22,41.05,2.2,4.3,621.0
18933,309.0,7.42,9.49,48.39,2.6,4.41,710.0
18934,289.0,6.92,9.4,44.16,2.4,4.5,663.0
18935,298.0,6.71,9.91,45.41,2.4,5.04,682.0
18942,501.0,5.1,24.83,64.3,1.9,18.13,471.0
18943,484.0,6.08,22.42,64.48,2.7,26.31,503.0
18944,290.0,2.17,11.5,44.54,1.6,22.02,200.0
18945,468.0,5.52,28.74,46.79,1.4,0.0,353.0
18951,297.0,5.8,10.1,45.68,1.5,13.1,529.0
18952,474.0,6.15,23.38,64.43,5.8,0.0,657.0
18953,374.0,7.12,17.12,47.84,0.7,24.9,510.0
18954,390.0,7.06,17.45,51.29,1.7,18.1,390.0
18959,379.0,5.48,18.5,47.76,2.2,17.0,231.0
18960,433.0,14.25,13.35,64.35,3.8,2.35,665.0
18961,484.0,7.01,20.37,64.55,2.4,9.37,1148.0
18962,464.0,7.19,19.5,64.88,2.4,10.41,752.0
18967,238.0,10.66,2.15,43.91,9.2,5.0,478.0
18968,250.0,10.2,1.53,48.89,4.1,6.12,439.0
18969,334.0,4.41,18.52,37.43,0.9,22.05,265.0
18970,297.0,8.01,7.58,49.27,2.4,2.66,742.0
19002,410.0,33.2,25.6,11.0,1.8,9.0,1785.0
19003,539.0,6.17,33.36,57.27,4.0,0.27,514.0
19004,523.0,7.0,32.7,56.2,5.2,0.0,763.0
19005,510.0,5.8,26.9,62.9,1.1,0.0,1022.0
19013,359.0,1.0,2.68,82.82,0.0,57.58,199.0
19014,371.0,0.1,3.0,85.8,0.0,49.16,317.0
19015,471.0,10.1,19.8,64.4,5.3,28.57,294.0
19016,495.0,7.7,25.5,62.0,4.8,0.0,256.0
19022,448.0,7.6,17.8,66.4,4.2,0.0,282.0
19024,466.0,5.8,24.9,63.8,3.4,0.0,200.0
19025,473.0,8.72,20.18,67.41,1.9,62.68,174.0
19026,508.0,10.2,31.1,53.4,2.8,23.74,193.0
19027,432.0,9.8,20.0,62.2,4.2,0.0,328.0
19035,583.0,7.29,43.55,45.06,8.1,0.46,909.0
19036,384.0,9.7,3.1,80.1,2.9,0.72,288.0
19038,400.0,6.4,7.8,80.7,3.8,45.36,177.0
19039,431.0,3.8,12.8,79.1,5.2,53.19,206.0
19045,502.0,4.56,26.14,64.76,3.2,0.63,450.0
19046,547.0,6.6,37.0,51.3,1.2,0.0,541.0
19047,384.0,10.04,2.93,80.39,3.4,2.21,1240.0
19048,457.0,7.5,16.7,70.9,2.4,38.8,569.0
19053,392.0,7.6,3.8,81.5,5.4,0.0,227.0
19056,472.0,7.1,20.68,67.78,5.4,0.78,328.0
19057,519.0,7.36,27.42,60.81,5.1,2.59,691.0
19058,501.0,7.19,24.63,62.74,4.0,3.03,519.0
19059,462.0,13.8,29.4,44.9,0.0,0.0,229.0
19065,479.0,4.13,26.93,59.51,5.0,48.34,142.0
19067,338.0,2.97,1.7,79.38,0.1,0.0,261.0
19068,388.0,2.0,7.5,80.89,0.2,48.0,295.0
19069,459.0,5.4,18.9,72.9,2.0,45.9,230.0
19076,387.0,1.59,3.31,87.73,0.1,56.32,44.0
19077,472.0,12.1,47.7,36.2,18.1,0.0,12.0
19078,642.0,14.32,52.31,28.42,16.6,0.91,24.0
19079,522.0,5.87,27.0,63.94,0.0,62.36,88.0
19086,529.0,18.3,29.8,46.88,5.0,38.3,250.0
19087,539.0,5.87,32.09,59.24,0.2,59.0,90.0
19088,180.0,4.78,4.83,29.46,0.3,22.12,74.0
19089,249.0,3.5,16.2,22.29,0.0,20.65,61.0
19094,145.0,4.53,4.03,22.78,0.0,22.78,53.0
19095,207.0,3.5,11.0,23.6,0.7,21.22,80.0
19096,126.0,4.9,2.6,21.8,0.0,18.69,70.0
19097,144.0,1.1,2.0,30.4,1.3,24.32,46.0
19102,387.0,3.78,6.59,77.75,0.7,73.36,118.0
19103,383.0,1.05,5.45,82.15,0.0,79.77,47.0
19104,435.0,3.0,13.69,74.61,0.9,71.0,42.0
19105,512.0,9.7,34.0,53.0,9.7,43.0,36.0
19111,475.0,5.4,21.6,64.8,2.0,54.0,230.0
19112,348.0,2.56,2.32,79.16,0.0,39.64,287.0
19113,291.0,0.0,0.09,72.43,0.0,72.25,287.0
19114,187.0,5.0,7.19,25.7,0.8,24.71,71.0
19119,519.0,7.5,27.5,60.4,2.5,52.5,38.0
19120,535.0,7.65,29.66,59.4,3.4,51.5,79.0
19121,105.0,2.76,1.7,19.74,0.0,0.0,296.0
19122,101.0,2.9,1.73,18.43,0.0,0.0,164.0
28354,257.0,5.65,8.2,40.24,2.9,2.98,544.0
28355,456.0,10.91,15.92,67.18,7.5,0.8,370.0
28356,474.0,2.19,17.89,76.03,2.5,49.0,275.0
28357,487.0,2.19,18.79,77.34,0.0,49.43,189.0
28363,467.0,9.42,18.42,65.81,2.4,1.03,947.0
28364,459.0,11.16,17.29,64.7,3.5,0.83,1187.0
28365,469.0,9.67,18.93,65.11,3.5,0.86,815.0
28366,320.0,3.13,10.7,52.83,3.5,8.36,528.0
28371,298.0,5.4,8.02,51.15,5.5,11.3,515.0
28372,309.0,7.25,9.34,49.09,4.9,9.81,510.0
28373,329.0,11.8,11.6,44.29,11.2,4.2,507.0
28374,215.0,3.31,4.55,40.32,1.5,4.06,331.0
31019,259.0,15.34,1.39,46.24,36.7,0.0,4331.0
31020,31.0,1.86,0.17,5.62,4.5,0.0,526.0
31021,84.0,1.75,0.08,19.16,1.8,0.91,42.0
31022,242.0,3.24,10.3,33.99,3.6,1.16,77.0
31023,182.0,2.16,8.92,35.58,5.7,12.9,146.0
35049,103.0,22.3,1.5,0.0,0.0,0.0,65.0
35050,135.0,5.8,2.4,22.6,0.0,0.0,0.0
35051,155.0,24.38,4.89,3.43,0.0,0.0,70.0
35056,110.0,26.7,0.4,0.0,0.0,0.0,0.0
35057,899.0,0.56,99.6,0.0,0.0,0.0,0.0
35058,67.0,11.7,2.2,0.0,0.0,0.0,0.0
35059,136.0,22.7,5.0,0.0,0.0,0.0,0.0
35066,150.0,23.2,5.9,0.0,0.0,0.0,0.0
35067,430.0,39.9,30.0,0.0,0.0,0.0,693.0
35068,156.0,16.6,8.0,4.3,0.0,0.0,0.0
35069,84.0,20.2,0.4,0.0,0.0,0.0,0.0
35070,56.0,13.0,0.4,0.0,0.0,0.0,0.0
35075,111.0,19.3,3.8,0.0,0.0,0.0,0.0
35078,1.0,0.0,0.0,0.2,0.0,0.0,132.0
35079,251.0,57.0,2.6,0.0,0.0,0.0,0.0
