token,entropy,doc_count,num_esha_categories
a1,-0.0,1,1
a2,1.6282202760321465,19,5
a2a2,-0.0,1,1
aa,1.0487299611174266,61,6
aah,-0.0,4,1
aai,1.4466166676282082,9,4
aaloo,-0.0,1,1
aalsbruk,-0.0,1,1
aalsorts,-0.0,1,1
aalto,-0.0,1,1
aangel,-0.0,1,1
aardvark,-0.0,5,1
ab,0.0,0,0
abado,0.0,0,0
abalone,1.9219280948873623,5,4
abba,-0.0,2,1
abbondanza,-0.0,1,1
abbot,-0.0,2,1
abbott,1.778368899209021,24,6
abbracci,0.0,0,0
abbruzze,-0.0,2,1
abby,1.3787834934861753,7,3
abbyland,-0.0,2,1
abc,2.5661823252553324,22,7
abcs,1.0,2,2
abdallah,-0.0,7,1
abed,-0.0,1,1
abf,0.954434002924965,8,2
abi,-0.0,1,1
abigail,-0.0,1,1
abilene,0.0,0,0
abita,-0.0,1,1
ablandador,-0.0,1,1
able,2.0,4,4
ables,1.2916919971380596,14,4
abobadas,-0.0,1,1
abodo,0.0,0,0
abominable,-0.0,1,1
abound,2.577819531114783,16,7
about,1.8753156176197312,18,5
abraham,1.0,2,2
abrh,-0.0,1,1
abricot,0.0,0,0
abruzze,-0.0,1,1
abruzzese,1.4591479170272448,6,3
abruzzi,0.0,0,0
abruzzo,1.4056390622295665,8,3
absinthe,0.8112781244591328,4,2
absolute,1.5219280948873621,5,3
absurdly,1.0,2,2
abuela,-0.0,2,1
abuelita,-0.0,3,1
abundance,-0.0,1,1
abundantly,-0.0,1,1
aburage,-0.0,1,1
ac,-0.0,1,1
ac2,-0.0,1,1
aca,-0.0,2,1
acacia,1.584962500721156,3,3
academia,1.4488156357251847,7,3
acai,2.157438508516766,392,11
acapulco,0.9182958340544896,3,2
acapulcoco,-0.0,1,1
accelerate,0.7219280948873623,5,2
accelerator,-0.0,5,1
accent,0.0,0,0
accented,2.3219280948873626,10,6
accents,2.7113970818788395,32,9
access,-0.0,1,1
accessories,1.2987949406953985,8,3
accompanied,-0.0,1,1
accompaniment,-0.0,1,1
accomplice,-0.0,1,1
according,-0.0,1,1
ace,-0.0,1,1
acedophilus,0.0,0,0
aceh,-0.0,1,1
aceite,-0.0,1,1
aceitunas,-0.0,1,1
acerola,1.3946169838545441,22,3
acerolas,-0.0,1,1
aces,1.0,2,2
acesulfame,0.0,0,0
acetaia,-0.0,1,1
aceto,-0.0,11,1
achaar,-0.0,4,1
achappam,0.0,0,0
achar,1.0,2,2
achiever,-0.0,3,1
achiote,1.5,4,3
achiotina,-0.0,1,1
achla,-0.0,2,1
achva,1.0,2,2
acid,1.0862293462325945,23,4
acidified,-0.0,5,1
aciditas,-0.0,1,1
acidity,-0.0,3,1
acidophilus,-0.0,5,1
acidulated,0.8904916402194913,13,2
acin,-0.0,1,1
acini,0.2974722489192896,19,2
ackawi,-0.0,1,1
ackee,0.0,0,0
ackees,-0.0,1,1
acme,2.521640636343318,14,7
acookies,-0.0,1,1
acorn,1.6577427265048887,9,4
acre,1.5566567074628228,7,3
acres,2.225610814520738,17,6
acron,-0.0,1,1
act,0.6957338078495314,41,3
acting,1.140669088150375,56,5
action,0.5032583347756457,18,2
activ,-0.0,1,1
activa,-0.0,1,1
activate,1.0,2,2
activated,2.063458298648303,15,5
activation,-0.0,1,1
active,2.7477127976346702,26,9
activia,1.2035119442448923,44,4
activity,-0.0,1,1
actual,-0.0,4,1
actually,-0.0,1,1
acua,-0.0,1,1
acuas,-0.0,2,1
acuka,0.0,0,0
acv,-0.0,1,1
adamia,-0.0,1,1
adams,2.2938135858333486,23,6
adaptogen,1.058277043226334,19,4
adaptogenic,0.7219280948873623,5,2
adaptogens,1.0,2,2
adaptonic,0.0,0,0
add,2.965957320949175,20,9
addd,-0.0,1,1
added,3.335291449310148,1174,22
adder,-0.0,2,1
addiction,2.113283334294875,9,5
addictive,0.9182958340544896,3,2
addictively,-0.0,1,1
addicts,-0.0,1,1
addis,-0.0,1,1
additive,-0.0,1,1
adds,-0.0,2,1
ade,0.787667201427305,29,3
aderezo,0.0,0,0
adhesive,0.0,0,0
adin,-0.0,1,1
adios,0.0,0,0
adiron,-0.0,1,1
adirondack,0.847584679824574,20,4
adjarian,-0.0,1,1
adjika,-0.0,2,1
adjustable,0.35335933502142136,15,2
adlay,-0.0,1,1
adler,2.0,4,4
adluh,-0.0,1,1
adobada,-0.0,3,1
adobadas,-0.0,6,1
adobado,-0.0,1,1
adobe,1.4591479170272448,6,3
adobo,1.9699270857243736,187,11
adolph,0.0,0,0
adolphus,-0.0,2,1
adonis,-0.0,1,1
adorable,-0.0,1,1
adorables,-0.0,1,1
adovada,1.0,2,2
adriatic,0.0,0,0
adro,-0.0,1,1
aduki,-0.0,1,1
adult,2.321928094887362,5,5
adults,0.9182958340544896,3,2
advamced,-0.0,1,1
advance,1.2776134368191154,11,4
advanced,1.8945717430402893,66,11
advancedcare,-0.0,2,1
advancepierre,0.839004976421464,165,3
advant,0.9182958340544896,3,2
advantage,1.6697367178034825,16,4
advantedge,-0.0,3,1
advent,0.39124356362925566,13,2
adventure,2.2856005389623073,19,7
adventurefuls,0.0,0,0
adventures,1.8423709931771086,7,4
adventurous,1.0,2,2
