fdc_id,gtin_upc,title,branded_food_category,source,_corpus
SR28-167512,,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",18,sr28,nutrition_db
SR28-167513,,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",18,sr28,nutrition_db
SR28-167514,,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",18,sr28,nutrition_db
SR28-167515,,"George Weston Bakeries, Thomas English Muffins",18,sr28,nutrition_db
SR28-167516,,"Waffles, buttermilk, frozen, ready-to-heat",18,sr28,nutrition_db
SR28-167517,,"Waffle, buttermilk, frozen, ready-to-heat, toasted",18,sr28,nutrition_db
SR28-167518,,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",18,sr28,nutrition_db
SR28-167519,,"Waffle, plain, frozen, ready-to-heat, microwave",18,sr28,nutrition_db
SR28-167520,,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",18,sr28,nutrition_db
SR28-167521,,"Pie Crust, Cookie-type, Chocolate, Ready Crust",18,sr28,nutrition_db
SR28-167522,,"Pie, Dutch Apple, Commercially Prepared",18,sr28,nutrition_db
SR28-167523,,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",18,sr28,nutrition_db
SR28-167524,,"Waffles, chocolate chip, frozen, ready-to-heat",18,sr28,nutrition_db
SR28-167525,,"Tostada shells, corn",18,sr28,nutrition_db
SR28-167526,,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",18,sr28,nutrition_db
SR28-167527,,"Bread, pound cake type, pan de torta salvadoran",18,sr28,nutrition_db
SR28-167528,,"Pastry, Pastelitos de Guava (guava pastries)",18,sr28,nutrition_db
SR28-167529,,"Crackers, snack, Goya Crackers",18,sr28,nutrition_db
SR28-167530,,"Crackers, cream, Gamesa Sabrosas",18,sr28,nutrition_db
SR28-167531,,"Crackers, cream, La Moderna Rikis Cream Crackers",18,sr28,nutrition_db
SR28-167532,,"Bread, white wheat",18,sr28,nutrition_db
