item,unit,grams_per_unit,portion_label,display_contains,display_excludes,evidence,reason
garlic,tbsp,8.5,reviewed tbsp from SR28 cup/tsp,,,SR28 169230 Garlic raw has cup=136g and tsp=2.8g,derived_from_sr28_adjacent_portions
garlic,tsp,2.8,SR28 tsp,,,SR28 169230 Garlic raw tsp=2.8g,explicit_sr28_portion
bay leaves,leaf,0.5,reviewed bay leaf,,,SR28 170917 Bay leaf has crumbled tsp=0.6g; corpus modal for whole leaf is 0.5g,reviewed_household_default
bay leaf,leaf,0.5,reviewed bay leaf,,,SR28 170917 Bay leaf has crumbled tsp=0.6g; corpus modal for whole leaf is 0.5g,reviewed_household_default
brown sugar,tbsp,9.1,reviewed tbsp unpacked,unpacked,,SR28 168833 brown sugar cup unpacked=145g,derived_from_sr28_adjacent_portions
cornstarch,tsp,2.7,reviewed tsp from SR28 cup,,,SR28 169698 Cornstarch cup=128g,derived_from_sr28_adjacent_portions
cornstarch,tbsp,8.0,reviewed tbsp from SR28 cup,,,SR28 169698 Cornstarch cup=128g,derived_from_sr28_adjacent_portions
margarine,tbsp,14.1,reviewed tbsp from SR28 stick,,,SR28 171018 Margarine stick=113g,derived_from_sr28_adjacent_portions
margarine,cup,226.0,reviewed cup from SR28 stick,,,SR28 171018 Margarine stick=113g,derived_from_sr28_adjacent_portions
ginger,tbsp,6.0,reviewed tbsp from SR28 cup slices,,,SR28 169231 Ginger root 0.25 cup slices=24g,derived_from_sr28_adjacent_portions
dried oregano,tbsp,5.4,reviewed tbsp ground,ground,,SR28 171328 oregano tsp ground=1.8g,derived_from_sr28_adjacent_portions
cinnamon stick,stick,3.0,reviewed cinnamon stick,,,SR28 has only ground cinnamon portions; corpus modal whole stick=3g,reviewed_household_default
cayenne pepper,dash,0.2,reviewed dash from SR28 tsp,,,SR28 170932 cayenne tsp=1.8g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
honey,tsp,7.0,reviewed tsp from SR28 tbsp,,,SR28 169640 Honey tbsp=21g,derived_from_sr28_adjacent_portions
worcestershire sauce,tsp,5.7,reviewed tsp from SR28 tbsp,,,SR28 171610 Worcestershire tbsp=17g,derived_from_sr28_adjacent_portions
worcestershire sauce,dash,0.7,reviewed dash from reviewed tsp,,,Reviewed tsp=5.7g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
maple syrup,tbsp,20.0,SR28 tbsp,,,SR28 169661 Syrups maple tbsp=20g,explicit_sr28_portion
maple syrup,tsp,6.7,reviewed tsp from SR28 tbsp,,,SR28 169661 Syrups maple tbsp=20g,derived_from_sr28_adjacent_portions
molasses,tbsp,20.0,SR28 serving 1 tbsp,,,SR28 168820 Molasses serving 1 tbsp=20g,explicit_sr28_portion
molasses,tsp,6.7,reviewed tsp from SR28 tbsp,,,SR28 168820 Molasses serving 1 tbsp=20g,derived_from_sr28_adjacent_portions
tabasco sauce,dash,0.6,reviewed dash from SR28 tsp,,,SR28 174528 Tabasco tsp=4.7g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
italian seasoning,tsp,2.0,reviewed dried herb blend tsp,,,No exact SR28 food; corpus modal and adjacent spice blends support about 2g per tsp,reviewed_household_default
italian seasoning,tbsp,6.0,reviewed dried herb blend tbsp,,,No exact SR28 food; corpus modal and adjacent spice blends support about 6g per tbsp,reviewed_household_default
garam masala,tsp,2.0,reviewed spice blend tsp,,,No exact SR28 food; corpus modal and adjacent spice blends support about 2g per tsp,reviewed_household_default
garam masala,tbsp,6.0,reviewed spice blend tbsp,,,No exact SR28 food; corpus modal and adjacent spice blends support about 6g per tbsp,reviewed_household_default
chopped nuts,cup,120.0,reviewed chopped nuts cup,,,SR28 170187 walnuts cup pieces/chips=120g and cup chopped=117g,derived_from_sr28_adjacent_portions
lemon juice,tsp,5.1,reviewed tsp from SR28 cup/fl oz,,,SR28 167747 Lemon juice cup=244g and fl oz=30.5g,derived_from_sr28_adjacent_portions
lemon juice,tbsp,15.2,reviewed tbsp from SR28 cup/fl oz,,,SR28 167747 Lemon juice cup=244g and fl oz=30.5g,derived_from_sr28_adjacent_portions
chocolate chips,cup,170.0,reviewed chocolate chips cup,,,Common baking measure and corpus modal: 1/2 cup clusters at 85-90g; default 170g per cup,reviewed_household_default
nutmeg,dash,0.3,reviewed dash from SR28 tsp,,,SR28 171326 Nutmeg tsp=2.2g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
oregano,tbsp,3.0,reviewed tbsp leaves/default,,,SR28 171328 oregano tsp leaves=1g,derived_from_sr28_adjacent_portions
ice,cup,140.0,reviewed cup ice cubes,,,Typical 1 cup ice cubes is about 140g; fixes water-bridge token mismatch without treating liquid water as ice,reviewed_household_default
cinnamon sticks,stick,3.0,reviewed cinnamon stick,,,SR28 has only ground cinnamon portions; corpus modal whole stick=3g,reviewed_household_default
garlic powder,dash,0.4,reviewed dash from SR28 tsp,,,SR28 171325 Garlic powder tsp=3.1g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
cinnamon,dash,0.3,reviewed dash from SR28 tsp,,,SR28 171320 Cinnamon tsp=2.6g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
lemon juice,dash,0.6,reviewed dash from reviewed tsp,,,Reviewed tsp=5.1g; dash treated as about 1/8 tsp,derived_from_sr28_adjacent_portions
