cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
1344,other,"HEALTHY CHOICE Fudge Yogurt Bar, 15 FL OZ",Desserts/Dessert Sauces/Toppings,"Ice Cream, vanilla","Frozen Yogurt, chocolate fudge brownie",Ice Cream & Frozen Yogurt,Milk | Condensed Skim Milk | Water | Polydextrose | Sorbitol,dairy | dairy | other | thickener | sweetener,Y,Y,,,,,,,,,,
1344,other,"HEALTHY CHOICE Fudge Bar, 10 FL OZ",Yogurt/Yogurt Substitutes,"Yogurt, vanilla, nonfat, reduced sugar, with added vitamin D","Frozen Yogurt, chocolate fudge brownie",Ice Cream & Frozen Yogurt,Skim Milk | Cane Sugar | Cocoa Powder | Cream | Guar Gum,dairy | sweetener | produce | dairy | thickener,Y,Y,,Y,,,,,,,,
1344,other,FUDGEALICIOUS FUDGE BAR,Ice Cream & Frozen Yogurt,"Ice Cream, vanilla","Frozen Yogurt, chocolate fudge brownie",Ice Cream & Frozen Yogurt,Nonfat Milk | Sugar | Corn Syrup | Cream | Whey,dairy | sweetener | sweetener | dairy | dairy,Y,Y,,Y,,,,,,,,
1344,other,"PEANUT BUTTER FUDGE DESSERT CUPS, PEANUT BUTTER FUDGE",Ice Cream & Frozen Yogurt,"Ice Cream, peanut butter cup","Frozen Yogurt, chocolate fudge brownie",Ice Cream & Frozen Yogurt,Peanut Butter | Fudge Truffles | Milk | Cream | Whipped Topping,protein | sweetener | dairy | dairy | other,Y,Y,,Y,,,,,,,,
1344,other,"CHOCOLATE FROZEN DAIRY DESSERT, CHOCOLATE; PEANUT BUTTER; FUDGE",Ice Cream & Frozen Yogurt,"Ice Cream, Loaded, chocolate peanut butter cup","Frozen Yogurt, chocolate fudge brownie",Ice Cream & Frozen Yogurt,Buttermilk | Sugar | Fudge | Corn Syrup | Cream,dairy | sweetener | sweetener | sweetener | dairy,Y,Y,,Y,,,,,,,,
1344,other,"PEANUT BUTTER VANILLA FUDGE GELATO LAYERS, PEANUT BUTTER; VANILLA FUDGE",Ice Cream & Frozen Yogurt,"Ice Cream, vanilla fudge","Frozen Yogurt, chocolate fudge brownie",Ice Cream & Frozen Yogurt,Milk | Sugar | Cream | Peanuts | Coconut Oil,dairy | sweetener | dairy | produce | oil_fat,Y,Y,Y,Y,,,,,,,,
1344,other,"FUDGE-DIPPED CONES, FUDGE-DIPPED",Ice Cream & Frozen Yogurt,"Ice Cream, vanilla fudge twirl, no sugar added, light","Frozen Yogurt, chocolate fudge brownie",Ice Cream & Frozen Yogurt,Enriched Flour | Sugar | Vegetable Oil | Cocoa Processed with Alka | Whey,grain | sweetener | oil_fat | produce | dairy,Y,,,,,,,,,,,
1344,other,"COCONUT FUDGE FROZEN YOGURT, COCONUT FUDGE",Ice Cream & Frozen Yogurt,"Ice Cream, coconut","Frozen Yogurt, chocolate fudge brownie",Ice Cream & Frozen Yogurt,Skim Milk | Milk | Cultured Skim Milk | Sugar | Corn Syrup,dairy | dairy | dairy | sweetener | sweetener,Y,Y,,Y,,,,,,,,
1344,other,"PEANUT BUTTER FUDGE CASHEWMILK DIPPED NON-DAIRY FROZEN DESSERT BARS, PEANUT BUTTER FUDGE CASHEWMILK",Ice Cream & Frozen Yogurt,"Ice Cream, butter pecan, non dairy, FS","Frozen Yogurt, chocolate fudge brownie",Ice Cream & Frozen Yogurt,Cashewmilk | Cane Sugar | Organic Coconut Oil | Peanuts | Cocoa Powder,dairy | sweetener | oil_fat | produce | produce,Y,Y,,,,,,,,,,
1344,other,"STEEL CITY FOOTBALL SUNDAE CHOCOLATE FROZEN DAIRY DESSERT WITH PEANUT BUTTER FILLED CHOCOLATE FOOTBALLS AND SWIRLED WITH THICK FUDGE, STEEL CITY FOOTBALL SUNDAE",Ice Cream & Frozen Yogurt,"Ice Cream, chocolate peanut butter","Frozen Yogurt, chocolate fudge brownie",Ice Cream & Frozen Yogurt,Milk | Fudge Swirl | Corn Syrup | Sugar | Peanut Butter Footballs,dairy | sweetener | sweetener | sweetener | protein,Y,Y,,Y,,,,,,,,
