cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
1463,other,"Pacific Foods Original Organic Almond Milk, Plant Based Milk, 32 oz Carton",Non Alcoholic Beverages - Ready to Drink,"Milk Substitute, non-soy","Almond Milk, plain",Plant Based Milk,Water | Organic Sugar | Organic Ground Almonds | Gellan Gum | Organic Natural Flavor,other | sweetener | produce | thickener | flavor_enhan,,,,,,,Y,,,,,
1463,other,"Pacific Foods Organic Unsweetened Almond Milk, Plant Based Milk, 32 oz Carton",Non Alcoholic Beverages - Ready to Drink,"Milk Substitute, non-soy","Almond Milk, plain",Plant Based Milk,Water | Organic Ground Almonds | Sea Salt | Organic Natural Flavor | Xanthan Gum,other | produce | mineral | flavor_enhan | thickener,,,,,,,Y,,,,,
1463,other,"SIMPLY ALMOND ORIGINAL BOTTLE, 46 FL OZ, ALMOND",Milk,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Natural Flavors | Sea Salt,dairy | sweetener | flavor_enhan | mineral,,Y,,,,,Y,,,,,
1463,other,"ALMOND BEVERAGE, ORIGINAL",Plant Based Milk,"Almond Milk, Almond Breeze, original","Almond Milk, plain",Plant Based Milk,Almond Base | Tricalcium Phosphate | Sea Salt | Gellan Gum | Dipotassium Phosphate,dairy | mineral | mineral | thickener | stabilizer,,,,,,,Y,,,,,almond_milk > original
1463,other,"TRADER JOE'S, UNSWEETENED ORIGINAL ALMOND BEVERAGE",Plant Based Milk,"Almond Milk, Almond Breeze, original, unsweetened","Almond Milk, plain",Plant Based Milk,Almond Base | Tricalcium Phosphate | Sea Salt | Gellan Gum | Dipotassium Phosphate,dairy | mineral | mineral | thickener | stabilizer,,,,,,,Y,,,,,almond_milk > unsweetened
1463,other,So Delicious Asep Almond 32oz Unsweetened,Milk/Milk Substitutes,"Almond Milk, Almond Breeze, original, unsweetened","Almond Milk, plain",Plant Based Milk,Almondmilk Beverage | Vitamin and Mineral Blend | Sea Salt | Sunflower Lecithin | Gellan Gum,dairy | vitamin | mineral | emulsifier | thickener,,Y,,,,,Y,,,,,
1463,other,"SWEETENED CHOCOLATE ALMONDMILK, SWEETENED CHOCOLATE",Plant Based Milk,"Almond Milk, chocolate","Almond Milk, plain",Plant Based Milk,Almondmilk | Sugar | Cocoa | Calcium Carbonate | Salt,dairy | sweetener | produce | mineral | mineral,Y,Y,,,,,Y,,,,,almond_milk > chocolate
1463,other,ALMONDMILK,Plant Based Milk,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Evaporated Cane Syrup | Tricalcium Phosphate | Natural Flavors | Sea Salt,dairy | sweetener | mineral | flavor_enhan | mineral,,Y,,,,,Y,,,,,almond_milk > plain
1463,other,"CHOCOLATE ALMONDMILK, CHOCOLATE",Plant Based Milk,"Almond Milk, chocolate","Almond Milk, plain",Plant Based Milk,Almondmilk | Evaporated Cane Syrup | Dutch Cocoa | Natural Flavors | Tricalcium Phosphate,dairy | sweetener | produce | flavor_enhan | mineral,Y,Y,,,,,Y,,,,,almond_milk > chocolate
1463,other,ALMONDMILK,Plant Based Milk,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Tricalcium Phosphate | Natural Vanilla Flavor Wi | Sea Salt | Gellan Gum,dairy | mineral | flavor_enhan | mineral | thickener,,Y,,,,,Y,,,,,almond_milk > plain
