cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
1590,other,OSCAR MAYER FROZEN SNACKS BAGEL DOGS,Frozen Dinners & Entrees,"Dish, beef & vegetable","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Bagel Dough | Beef Cocktail Frank,grain | protein,,,,,,,,,,,,
1590,other,"CARNIVAL DOGS, CORNDOGS",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, Carnival, kids'","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,,,Y,,,,,,,
1590,other,CORNDOGS,Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,,,Y,,,,,,,
1590,other,MINI CORNDOGS CHICKEN FRANKS,Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Mechanically Separated Ch | Water | Dextrose | Salt | Corn Syrup,protein | other | sweetener | mineral | sweetener,,Y,,,Y,,,,,,,
1590,other,PREMIUM CORN DOG MEALS,Frozen Dinners & Entrees,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Corn Dog | Frankfurter | Corn | French Fried Potatoes | Water,other | protein | grain | produce | other,Y,,,,Y,Y,,,,,,corn_dog
1590,other,MINI HOT DOGS IN PUFF PASTRY APPETIZER,Frozen Appetizers & Hors D'oeuvres,"Snack, soy, sea salt, low fat","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Puff Pastry | Frankfurter,grain | protein,,,,,,Y,,,,,,hot_dog
1590,other,GOURMET UNCURED BEEF HOT DOGS,Frozen Appetizers & Hors D'oeuvres,"Dish, beef & vegetable","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Puff Pastry | Uncured Beef Hot Dog,grain | protein,,Y,,,,Y,,,,,,hot_dog
1590,other,"CORN PLUMP & JUICY CHICKEN HOT DOGS, CORN",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Chicken Frankfurter Ingre | Water | High Fructose Corn Syrup | Modified Corn Starch | Corn Syrup Solids,protein | other | sweetener | thickener | sweetener,,,Y,,Y,Y,,,,,,
1590,other,"CORN PLUMP & JUICY BEEF HOT DOGS, CORN",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, beef, mini, FS","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Wheat Flour | Sugar | Yellow Corn Meal | Yellow Corn Flour,other | grain | sweetener | grain | grain,,,Y,,Y,Y,,,,,,
1590,other,MINI BAGEL BEEF HOT DOGS,Frozen Appetizers & Hors D'oeuvres,"Dish, beef & vegetable","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Bagel Dough | Beef Cocktail Frank,grain | protein,,,,,,,,,,,,hot_dog
1590,other,"BAGEL DOGS MINI PORK AND BEEF HOT DOGS WRAPPED IN BAGEL DOUGH, BAGEL DOGS",Frozen Appetizers & Hors D'oeuvres,"Dish, beef & vegetable","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Bagel Dough | Cocktail Frank Made with ,grain | protein,,,,,,,,,,,,hot_dog
1590,other,"CORN HOT DOGS MADE WITH BEEF & PORK, TURKEY WRAPPED IN A HONEY SWEETENED BATTER, BEEF & PORK, TURKEY",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, beef & pork, jumbo, FS","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Wheat Flour | Sugar | Enriched Corn Meal | Leavening,other | grain | sweetener | grain | leavening,,Y,,,Y,Y,,,,,,
1590,other,CORN DOG,Frozen Appetizers & Hors D'oeuvres,"Corn Dog, turkey","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Turkey Corn Dog | Sugar | Enriched Corn Meal | Less Of: Leavening | Modified Wheat Starch,other | sweetener | grain | other | thickener,,Y,,,,,,,,,,corn_dog
1590,other,CORNDOGS,Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,,,Y,,,,,,,
1590,other,MINI CORNDOGS,Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,,,Y,,,,,,,
1590,other,"HAWAIIAN BREAD MINI DOGS SOFT & SWEET HAWAIIAN BREAD WRAPPED AROUND PREMIUM COCKTAIL FRANKS, HAWAIIAN BREAD MINI DOGS",Frozen Appetizers & Hors D'oeuvres,"Dish, beef, with cream or white sauce","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Enriched Wheat Flour | Water | Sugar | Eggs | Butter,grain | other | sweetener | protein | dairy,,Y,Y,Y,,,,,,,,
1590,other,"CORN DOG FULLY COOKED HOT DOG MADE WITH TURKEY AND CHICKEN, PORK ADDED WRAPPED IN A HONEY SWEETENED BATTER, CORN DOG",Other Deli,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Wheat Flour | Sugar | Enriched Degermed Yellow  | Enriched Corn Meal,other | grain | sweetener | grain | grain,,Y,,,Y,Y,,,,,,corn_dog
1590,other,CORN MINI DOGS,Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Wheat Flour | Sugar | Degermed Yellow Corn Meal | Leavening,other | grain | sweetener | grain | leavening,,Y,Y,,Y,,,,,,,
1590,other,"CHEESE AND BEANS CORN PUPUSAS, CHEESE AND BEANS CORN",Frozen Appetizers & Hors D'oeuvres,"Snack, mix, corn, wheat free, Chaos","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Nixtamalized Corn Flour | Beans | Cheese | Seasoning | Palm Oil,grain | protein | dairy | spice | oil_fat,,Y,,,,,,,,,,
1590,other,"CORN MINI DOGS, CORN",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Wheat Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,Y,,Y,,,,,,,
1590,other,9 MINI BAGEL DOGS,Frozen Appetizers & Hors D'oeuvres,"Snack, mix, corn, wheat free, Chaos","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Bleached Bromated Enriche | Water | Dough Base | Sugar | Monocalcium Phosphate,grain | other | grain | sweetener | mineral,,,,,,,,,,,,
1590,other,"UNCURED TURKEY BREADED POPCORN DOGS, UNCURED TURKEY",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, classic, FS","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Uncured Turkey Hot Dogs | Batter | Breading | Breading Set in Canola Oi,protein | label_note | grain | grain,,,,,Y,Y,,,,,,corn_dog
1590,other,"PORK & CHEESE STUFFED CORN TORTILLAS PUPUSAS, PORK & CHEESE",Frozen Appetizers & Hors D'oeuvres,"Snack, corn, with caramel","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Dough | Filling,grain | label_note,,Y,,,,,,Y,,,,
1590,other,EVERYTHING DOG IN A BLANKET,Frozen Appetizers & Hors D'oeuvres,"Dish, beef, with cream or white sauce","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Puff Pastry | Uncured Beef Hot Dog | Parmesan Cheese | Water | Pasteurized Eggs,grain | protein | dairy | other | dairy,,Y,Y,Y,,Y,,,,,,
1590,other,GOURMET UNCURED BEEF HOT DOGS IN AN ALL BUTTER PUFF PASTRY,Frozen Appetizers & Hors D'oeuvres,"Dish, beef & vegetable","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Puff Pastry | Uncured Beef Hot Dog,grain | protein,,,,Y,,Y,,,,,,hot_dog
1590,batter wrapped,"CORNDOGS, BATTER WRAPPED CHICKEN FRANK ON A STICK",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,,,,,,,,,,
1590,batter wrapped,"MINI CORNDOGS MICROWAVEABLE HONEY BATTER WRAPPED MINI CHICKEN FRANKS, MINI CORNDOGS MICROWAVEABLE HONEY BATTER",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Wheat Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,Y,,Y,,,,,,,
1590,classic corn dogs,"SPARTAN, CLASSIC CORN DOGS, HONEY, HONEY",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,,,Y,,,,,,,corn_dog
