cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
1912,other,CHICK'N POP-EMS NUGGETS,Frozen Appetizers & Hors D'oeuvres,"Snack, soy, roasted garlic & onion, low fat","Nuggets, chicken, frozen",Frozen Appetizers & Hors D'oeuvres,Chicken | Turkey | Breadcrumbs | Modified Food Starch | Water,protein | protein | grain | thickener | other,,,,,,,,,,,,
1912,other,MEATLESS KETO BREADED PLANT-BASED NUGGETS,Frozen Appetizers & Hors D'oeuvres,"Snack, soy, sea salt, low fat","Nuggets, chicken, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Pea Protein | Textured Soy Protein Conc | Yellow Corn Flour | Textured Wheat Protein,other | protein | protein | grain | protein,,,,,,,,,,,,
1912,other,CHICKEN FUN NUGGETS,Frozen Appetizers & Hors D'oeuvres,"Nuggets, chicken, 5 piece serving","Nuggets, chicken, frozen",Frozen Appetizers & Hors D'oeuvres,Chicken | Water | Wheat Flour | Textured Soy Protein Conc | The Following: Caramelize,protein | other | grain | protein | sweetener,,,,,,,,,,,,
1912,other,"NUGGETS FOR KIDS, BROCCOLI & CHEESE",Frozen Appetizers & Hors D'oeuvres,"Dish, potatoes, roasted, with broccoli & cheddar cheese, frozen","Nuggets, chicken, frozen",Frozen Appetizers & Hors D'oeuvres,Broccoli | Cheddar Cheese | Dried Potatoes | Canola Oil | Egg White Solids,produce | dairy | produce | oil_fat | protein,,Y,Y,,,,,,,,,
1912,other,"CHIKN NUGGETS PLANT-BASED NUGGETS, CHIK'N NUGGETS",Frozen Appetizers & Hors D'oeuvres,"Snack, soy, roasted garlic & onion, low fat","Nuggets, chicken, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Wheat Flour | Soy Protein Concentrate | Vegetable Oil | Soy Protein Isolate,other | grain | protein | oil_fat | protein,,,,,,,,,,,,
1912,other,"DRIVE THRU STYLE CRISPY BATTERED NUGGET SHAPED WHITE MEAT CHICKEN PATTIES MEGA NUGGETS, DRIVE THRU STYLE",Frozen Appetizers & Hors D'oeuvres,"Vegetarian Meat, chicken nuggets, crispy","Nuggets, chicken, frozen",Frozen Appetizers & Hors D'oeuvres,Chicken Nugget Patties | Batter | Vegetable Oil,protein | label_note | oil_fat,,,,,Y,,,,,,,
1912,other,"CHICKEN FULLY COOKED NUGGETS SHAPED WHITE MEAT CHICKEN PATTIES GOLDEN BREADED & DELIGHTFULLY CRISP, CHICKEN",Frozen Appetizers & Hors D'oeuvres,"Vegetarian Meat, chicken, nuggets, breaded, frozen","Nuggets, chicken, frozen",Frozen Appetizers & Hors D'oeuvres,White Meat Chicken | Wheat Flour | Water | Annatto Extract | Chicken Broth,protein | grain | other | color | flavor_enhan,,,,Y,,,,,,,,
1912,other,BATTERED SWEET CORN NUGGETS,Frozen Appetizers & Hors D'oeuvres,"Snack, sweet corn, original, roasted","Nuggets, chicken, frozen",Frozen Appetizers & Hors D'oeuvres,Corn | Water | Bleached Enriched Wheat F | Vegetable Oil | Sugar,grain | other | grain | oil_fat | sweetener,,Y,,,,,,,,,,
1912,other,MEATLESS CHEESY NUGGETS,Frozen Dinners & Entrees,"Dish, potatoes, cheesy cheddar flavor, dry","Nuggets, chicken, frozen",Frozen Appetizers & Hors D'oeuvres,Mycoprotein | Enriched Wheat Flour | Canola Oil | Whole Milk | Low-moisture Mozzarella,protein | grain | oil_fat | dairy | other,,Y,Y,Y,,,,,,,,
1912,other,BREADED CATFISH NUGGETS,Frozen Appetizers & Hors D'oeuvres,"Snack, mix, corn, wheat free, Chaos","Nuggets, chicken, frozen",Frozen Appetizers & Hors D'oeuvres,Catfish | Xanthan Gum,protein | thickener,,,,,,,,,,,,
