cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
1917,other,"SPICY RED LENTIL HUMMUS, SPICY RED LENTIL",Dips & Salsa,"Hummus, roasted red pepper, refrigerated","Salsa, roasted red pepper",Dips & Salsa,Red Lentils | Roasted Red Peppers | Non-GMO Sesame Tahini | Canola Oil | Roasted Garlic,produce | produce | protein | oil_fat | spice,,,,,,,,,Y,Y,,hummus
1917,other,"SPICY THREE PEPPER TOPPED HUMMUS, SPICY THREE PEPPER",Dips & Salsa,"Hummus, spicy three pepper, refrigerated","Salsa, roasted red pepper",Dips & Salsa,Cooked Chickpeas | Canola Oil | Tahini | Water | Poblano Peppers,protein | oil_fat | protein | other | produce,,,,,,,,,,,,hummus
1917,other,"HUMMOS, ROASTED PEPPERS",Dips & Salsa,"Sauce, pasta, roasted red pepper & garlic, Chunky Garden","Salsa, roasted red pepper",Dips & Salsa,Chickpeas | Filtered Water | Roasted Red Peppers | Sesame Tahini | Apple Cider Vinegar,protein | other | produce | produce | acid,,,,,,,,,,,,
1917,other,"BIRCHBERRY BISTRO, HUMMUS, RED BELL PEPPER, RED BELL PEPPER",Dips & Salsa,"Hummus, roasted red pepper, refrigerated","Salsa, roasted red pepper",Dips & Salsa,Garanzo Beans | Red Bell Pepper | Garlic | Sesame Tahini | Citric Acid,protein | produce | produce | produce | acid,,,,,,,,,,,,hummus
1917,other,"SPICY RED LENTIL HUMMUS, SPICY RED LENTIL",Dips & Salsa,"Hummus, roasted red pepper, refrigerated","Salsa, roasted red pepper",Dips & Salsa,Red Lentils | Filtered Water | Canola Oil | Caramelized Onion | Sea Salt,produce | other | oil_fat | produce | mineral,,,,,,,,,,,,hummus
1917,other,"ROASTED SWEET PEPPER SALSA, ROASTED SWEET PEPPER",Dips & Salsa,"Salsa, roasted peppers & garlic","Salsa, roasted red pepper",Dips & Salsa,Tomatoes | Roasted Tomato Puree | Jalapeno Peppers | Water | Red Bell Pepper,produce | produce | produce | other | produce,,,,,,,,,,,,
1917,other,"SPICY THREE-PEPPER ORGANIC HUMMUS WITH RED, JALAPENO & POBLANO PEPPERS, SPICY THREE-PEPPER",Dips & Salsa,"Hummus, spicy three pepper, refrigerated","Salsa, roasted red pepper",Dips & Salsa,Organic Cooked Chickpeas | Water | Organic Roasted Red Peppe | Organic Poblano Peppers | Organic Canola Oil,protein | other | produce | produce | oil_fat,,,,,,,,,Y,,,hummus
1917,other,"GOLDEN GINGER HUMMUS, GOLDEN GINGER",Dips & Salsa,"Hummus, artichoke & garlic, refrigerated","Salsa, roasted red pepper",Dips & Salsa,Cooked Chickpeas | Water | Canola Oil | Sesame Tahini | Garlic,protein | other | oil_fat | produce | produce,,,,,,,,,Y,,,hummus
1917,other,"SPICY THREE-PEPPER ORGANIC HUMMUS WITH RED, JALAPENO & POBLANO PEPPERS, SPICY THREE-PEPPER",Dips & Salsa,"Hummus, spicy three pepper, refrigerated","Salsa, roasted red pepper",Dips & Salsa,Cooked Chickpeas | Tahini | Canola Oil | Roasted Red Pepper | Cultured Dextrose,protein | protein | oil_fat | produce | preservative,,,,,,,,,Y,,,hummus
1917,other,"GINGERBREAD HUMMUS, GINGERBREAD",Dips & Salsa,"Sauce, sesame teriyaki, with agave nectar","Salsa, roasted red pepper",Dips & Salsa,Cooked Chickpeas | Canola Oil | Water | Date Paste | Sesame Tahini,protein | oil_fat | other | sweetener | produce,,,,,,,,,,,,hummus
