cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
1947,other,"MOUNTAINSIDE FARMS FILTERED FRESH MILK, HALF GALLON",Milk,Milk,Milk,Milk,Grade A Milk | Vitamin D3,dairy | vitamin,,Y,,,,,,,,,,
1947,other,ULTRA-PASTEURIZED HALF & HALF MILK,Milk,Milk,Milk,Milk,Milk | Cream | Gellan Gum | Disodium Phosphate and So,dairy | dairy | thickener | stabilizer,,Y,,Y,,,,,,,,
1947,other,ULTRA-PASTEURIZED HALF & HALF MILK,Milk,Milk,Milk,Milk,Milk | Cream | Gellan Gum | Disodium Phosphate and So,dairy | dairy | thickener | stabilizer,,Y,,Y,,,,,,,,
1947,other,MILK,Milk,"Milk, whole, 3.5%, homogenized, with added vitamin D",Milk,Milk,Milk | Skim Milk | Vitamin A | Vitamin D3,dairy | dairy | vitamin | vitamin,,Y,,,,,,,,,,
1947,other,MILK,Milk,"Milk, whole, 3.5%, homogenized, with added vitamin D",Milk,Milk,Milk | Vitamin D3,dairy | vitamin,,Y,,,,,,,,,,
1947,other,BUTTERMILK,Milk,"Buttermilk, cultured, reduced fat",Milk,Milk,Cultured Lowfat Milk | Nonfat Milk Solids | Salt | Sodium Citrate,dairy | dairy | mineral | acid,,Y,,,,,,,,,,
1947,other,BUTTER MILK,Milk,"Milk, whole, 3.5%, homogenized, with added vitamin D",Milk,Milk,Cultured Lowfat Milk | Nonfat Milk Solids | Salt | Sodium Citrate | Vitamin A,dairy | dairy | mineral | acid | vitamin,,Y,,,,,,,,,,
1947,other,CHOCOLATE MILK,Milk,"Milk, chocolate",Milk,Milk,Milk | Sugar | Cocoa | Starch | Salt,dairy | sweetener | produce | thickener | mineral,Y,Y,,,,,,,,,,milk > chocolate
1947,other,"BARISTA MILKED CASHEWS, BARISTA",Plant Based Milk,,Milk,Milk,Filtered Water | Cashews | Cane Sugar | Salt | Natural Flavors,other | produce | sweetener | mineral | flavor_enhan,,,,,,,,,,,,
1947,other,WHOLE VITAMIN E MILK,Milk,"Milk, whole, 3.5%, homogenized, with added vitamin D",Milk,Milk,Milk | Vitamin D3,dairy | vitamin,,Y,,,,,,,,,,
1947,other,"MILK, CHOCOLATE",Milk,"Milk, chocolate",Milk,Milk,Milk | Sugar | Cocoa | Natural Vanilla,dairy | sweetener | produce | spice,Y,Y,,,,,,,,,,milk > chocolate
