cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
20,other,"CHOCOLATE CHIP SNOWBOARD SANDWICHES, CHOCOLATE CHIP",Ice Cream & Frozen Yogurt,"Ice Cream, vanilla chocolate chip","Ice Cream Sandwich, vanilla",Ice Cream & Frozen Yogurt,Frozen Dairy Dessert | Skim Milk | Corn Syrup | Sugar | Cream,dairy | dairy | sweetener | sweetener | dairy,Y,Y,,Y,,,,,,,,
20,other,VANILLA SANDWICHES,Ice Cream & Frozen Yogurt,"Ice Cream, vanilla caramel fudge","Ice Cream Sandwich, vanilla",Ice Cream & Frozen Yogurt,Milkfat and Nonfat Milk | Corn Syrup | Sugar | High Fructose Corn Syrup | Buttermilk,dairy | sweetener | sweetener | sweetener | dairy,Y,Y,,,,,,,,,,
20,other,"CHOCOLATE COOKIE SANDWICHES, CHOCOLATE",Ice Cream & Frozen Yogurt,"Ice Cream, mint chocolate cookie","Ice Cream Sandwich, vanilla",Ice Cream & Frozen Yogurt,Reduced Fat Ice Cream | Cream | Sugar | Corn Syrup | Cocoa Powder Processed wi,oil_fat | dairy | sweetener | sweetener | produce,Y,Y,,Y,,,,,,,,
20,other,"CHOCOLATE CHIP COOKIE SANDWICH, CHOCOLATE CHIP",Ice Cream & Frozen Yogurt,"Ice Cream, chocolate chip cookie dough","Ice Cream Sandwich, vanilla",Ice Cream & Frozen Yogurt,Chocolate Chip Cookies | Dairy Product Solids | Skim Milk | Sugar | Corn Syrup,grain | dairy | dairy | sweetener | sweetener,Y,Y,Y,Y,,,,,,,,
20,other,"CHOCOLATE CHIP COOKIE FROZEN DAIRY DESSERT SANDWICHES, CHOCOLATE",Ice Cream & Frozen Yogurt,"Ice Cream, chocolate chip cookie dough","Ice Cream Sandwich, vanilla",Ice Cream & Frozen Yogurt,Chocolate Chocolate Chip  | Skim Milk | Dairy Product Solids | Sugar | Corn Syrup,grain | dairy | dairy | sweetener | sweetener,Y,Y,Y,Y,,,,,,,,
20,other,"MINI VANILLA CHOCOLATE CHIP COOKIE FROZEN DAIRY DESSERT SANDWICHES, MINI VANILLA CHOCOLATE",Ice Cream & Frozen Yogurt,"Ice Cream, vanilla chocolate chip","Ice Cream Sandwich, vanilla",Ice Cream & Frozen Yogurt,Chocolate Chip Cookies | Dairy Product Solids | Skim Milk | Sugar | Corn Syrup,grain | dairy | dairy | sweetener | sweetener,Y,Y,,Y,,,,,,,,
20,other,"CHOCOLATE CHIP FROZEN DAIRY DESSERT SANDWICHES, CHOCOLATE CHIP",Ice Cream & Frozen Yogurt,"Ice Cream, cherry chocolate chip","Ice Cream Sandwich, vanilla",Ice Cream & Frozen Yogurt,Chocolate Chip Cookies | Dairy Product Solids | Skim Milk | Sugar | Corn Syrup,grain | dairy | dairy | sweetener | sweetener,Y,Y,Y,Y,,,,,,,,
20,other,"MINI CHOCOLATE CHIP COOKIE FROZEN DAIRY DESSERT SANDWICHES, MINI CHOCOLATE CHIP",Ice Cream & Frozen Yogurt,"Ice Cream, chocolate chip cookie dough","Ice Cream Sandwich, vanilla",Ice Cream & Frozen Yogurt,Chocolate Chip Cookies | Dairy Product Solids | Skim Milk | Sugar | Corn Syrup,grain | dairy | dairy | sweetener | sweetener,Y,Y,,Y,,,,,,,,
20,other,"MINI SANDWICHES, CHOCOLATE GELATO, GELATO",Ice Cream & Frozen Yogurt,"Ice Cream, chocolate malt","Ice Cream Sandwich, vanilla",Ice Cream & Frozen Yogurt,Gelato | Cookie | Gelato | Cookie,dairy | grain | dairy | grain,Y,Y,,Y,,,,,,,,
20,other,"VANILLA FROZEN DAIRY DESSERT SANDWICHES WITH CHOCOLATEY COATING, VANILLA",Ice Cream & Frozen Yogurt,"Ice Cream, vanilla chocolate strawberry, no sugar added, light","Ice Cream Sandwich, vanilla",Ice Cream & Frozen Yogurt,Chocolatey Coating | Wafers | Dairy Product Solids | Skim Milk | Sugar,other | grain | dairy | dairy | sweetener,Y,Y,,Y,,,,,,,,
