cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
2320,other,CREAMY AVOCADO POBLANO DRESSING,Salad Dressing & Mayonnaise,"Salad Dressing, creamy, with buttermilk, reduced calorie, no cholesterol","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Cultured Nonfat Buttermil | Soybean Oil | Water | Poblano Pepper | Avocado,dairy | oil_fat | other | produce | produce,,Y,Y,,,,,Y,,,,
2320,other,CREAMY BUTTERMILK,Salad Dressing & Mayonnaise,"Salad Dressing, buttermilk, light","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Soybean Oil | Lowfat Buttermilk | Water | Sugar | Salt,oil_fat | dairy | other | sweetener | mineral,,Y,,,,,,,,,,
2320,other,"AVOCADO VEGAN MAYO, AVOCADO VEGAN",Salad Dressing & Mayonnaise,"Dressing, mayonnaise","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Avocado Oil | Organic Aquafaba | Lime Juice | Coconut Sugar | Salt,oil_fat | other | produce | sweetener | mineral,,,,,,,,Y,,,,mayonnaise > avocado
2320,other,GRAPESEED OIL,Salad Dressing & Mayonnaise,"Dressing, Vegenaise, with grapeseed oil","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Grapeseed Oil | Filtered Water | Brown Rice Syrup | Apple Cider Vinegar | Soy Protein,oil_fat | other | sweetener | acid | protein,,,,,,,,,Y,,,
2320,other,GRAPESEED OIL VEGENAISE,Salad Dressing & Mayonnaise,"Dressing, Vegenaise, with grapeseed oil","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Grapeseed Oil | Filtered Water | Brown Rice Syrup | Apple Cider Vinegar | Soy Protein,oil_fat | other | sweetener | acid | protein,,,,,,,,,Y,,,
2320,other,GRAPESEED OIL,Salad Dressing & Mayonnaise,"Dressing, Vegenaise, with grapeseed oil","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Ingredients | Grapeseed Oil | Filtered Water | Brown Rice Syrup | Apple Cider Vinegar,label_note | oil_fat | other | sweetener | acid,,,,,,,,,Y,,,
2320,other,SOY-FREE VEGENAISE,Salad Dressing & Mayonnaise,"Dressing, Vegenaise","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Expeller-Pressed High-Ole | Filtered Water | Brown Rice Syrup | Apple Cider Vinegar | Pea Protein,oil_fat | other | sweetener | acid | protein,,,,,,,,,Y,,,
2320,other,"SESAME OIL, ACEITE DE ATONJOLI",Salad Dressing & Mayonnaise,"Salad Dressing, Chinese sesame","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Water | Soybean Oil | Distilled Vinegar | Corn Maltodextrin | Egg Yolks,other | oil_fat | acid | thickener | protein,,,Y,,,,,,,,,
2320,other,DRESSING AVOCADO RANCH,Salad Dressing & Mayonnaise,"Salad Dressing, avocado ranch","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Canola Oil | Buttermilk | Filtered Water | Avocado | White Wine Vinegar,oil_fat | dairy | other | produce | acid,,Y,Y,,,,,Y,,,,
2320,other,CREAMY AVOCADO CILANTRO DRESSING,Salad Dressing & Mayonnaise,"Salad Dressing, creamy cilantro","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Avocado Oil | Water | Salted Eggs | Lime Juice | Parmesan Cheese,oil_fat | other | dairy | produce | dairy,,Y,Y,,,,,Y,,,,
2320,other,CREAMY AVOCADO POBLANO DRESSING,Salad Dressing & Mayonnaise,"Salad Dressing, creamy, with buttermilk, reduced calorie, no cholesterol","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Cultured Nonfat Buttermil | Soybean Oil | Water | Poblano Pepper | Avocado,dairy | oil_fat | other | produce | produce,,Y,Y,,,,,Y,,,,
2320,other,"PLANT BASED AVOCADO GODDESS DRESSING, AVOCADO",Salad Dressing & Mayonnaise,"Salad Dressing, Greek Goddess, premium","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Water | Hass Avocados | Non-GMO Expeller Pressed  | Apple Cider Vinegar | Lemon Juice,other | produce | oil_fat | acid | produce,,,,,,,,,Y,,,
2320,other,"ORIGINAL AVOCADO, ORIGINAL",Salad Dressing & Mayonnaise,"Salad Dressing, avocado ranch","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Water | Avocado Oil | Avocados | Olive Oil | Lemon Powder,other | oil_fat | produce | oil_fat | produce,,,,,,,,,Y,,,
2320,other,82% FRESH AVOCADO,Salad Dressing & Mayonnaise,"Salad Dressing, avocado ranch","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Hass Avocado | White Vinegar | Olive Oil | Sea Salt | Lime Juice,produce | acid | oil_fat | mineral | produce,,,,,,,,Y,,,,
2320,avocado oil,AVOCADO OIL MAYONNAISE,Salad Dressing & Mayonnaise,"Dressing, mayonnaise, with lime juice","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Avocado Oil | Organic Certified Humane  | Water | Distilled Vinegar | Salt,oil_fat | protein | other | acid | mineral,,,Y,,,,,Y,,,,mayonnaise > avocado
2320,avocado oil,"SOY FREE AVOCADO OIL DRESSING & SANDWICH SPREAD, AVOCADO",Salad Dressing & Mayonnaise,"Dressing, mayonnaise, with relish, Sandwich Spread","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Avocado Oil | Expeller-Pressed High-Ole | Filtered Water | Brown Rice Syrup | Apple Cider Vinegar,oil_fat | oil_fat | other | sweetener | acid,,,,,,,,,Y,,,
2320,avocado oil,"AVOCADO OIL REDUCED FAT MAYONNAISE, AVOCADO OIL",Salad Dressing & Mayonnaise,"Dressing, mayonnaise type, fat free","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Water | Avocado Oil | Canola Oil | Soybean Oil | Vinegar,other | oil_fat | oil_fat | oil_fat | acid,,,Y,,,,,,,,,mayonnaise > avocado
2320,avocado oil,"AVOCADO OIL MAYO REDUCED FAT MAYONNAISE, AVOCADO OIL",Salad Dressing & Mayonnaise,"Dressing, mayonnaise type, fat free","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Water | Avocado Oil | Canola Oil | Soybean Oil | Vinegar,other | oil_fat | oil_fat | oil_fat | acid,,,Y,,,,,,,,,mayonnaise > avocado
2320,avocado oil,"MAYO WITH AVOCADO OIL, AVOCADO OIL",Salad Dressing & Mayonnaise,"Dressing, mayonnaise, with lime juice","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Water | Vinegar | Avocado Oil | Canola Oil | Soybean Oil,other | acid | oil_fat | oil_fat | oil_fat,,,Y,,,,,,,,,mayonnaise > avocado
2320,avocado oil,AVOCADO OIL DRESSING,Salad Dressing & Mayonnaise,"Salad Dressing, avocado ranch","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Avocado Oil | Water | Apple Cider Vinegar | Honey | Granulated Garlic,oil_fat | other | acid | sweetener | spice,,,,,,,,,,,,
2320,avocado oil,"AVOCADO OIL CAESAR DRESSING, AVOCADO OIL",Salad Dressing & Mayonnaise,"Salad Dressing, Caesar, fat free","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Water | Avocado Oil | Rice Vinegar | Garlic Puree | Egg Yolk Powder,other | oil_fat | acid | spice | protein,,,Y,,,,,,,,,
2320,avocado oil,"AVOCADO OIL DRESSING, ROASTED GARLIC CITRUS",Salad Dressing & Mayonnaise,"Dressing, mayonnaise, roasted garlic","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Water | Avocado Oil | Soybean Oil | Distilled Vinegar | Wine Vinegar,other | oil_fat | oil_fat | acid | acid,,,,,,,,,Y,,,
2320,avocado oil,"AVOCADO OIL MAYONNAISE DRESSING, AVOCADO OIL",Salad Dressing & Mayonnaise,"Dressing, mayonnaise type, fat free","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Blend of Oils | Water | Whole Eggs and Egg Yolks | Modified Corn Starch | Sugar,oil_fat | other | dairy | thickener | sweetener,,,Y,,,,,Y,,,,mayonnaise > avocado
2320,avocado oil,"AVOCADO OIL MAYONNAISE DRESSING, AVOCADO OIL",Salad Dressing & Mayonnaise,"Dressing, mayonnaise type, fat free","Dressing, mayonnaise, with olive oil",Salad Dressing & Mayonnaise,Blend of Oils | Water | Whole Eggs and Egg Yolks | Modified Corn Starch | Sugar,oil_fat | other | dairy | thickener | sweetener,,,Y,,,,,Y,,,,mayonnaise > avocado
