cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
2586,other,DAIRY CHOCOLATE CHIPS,Chocolate,"Chocolate Bar, Dairy Milk","Milk, chocolate",Chocolate,Sugar | Cocoa Butter | Cocoa Mass | Milk Solids | Emulsifier,sweetener | oil_fat | produce | dairy | label_note,Y,Y,,,,,,,,,,
2586,other,"CHOCOLATE GNOME, CHOCOLATE",Chocolate,"Chocolate, sugar free","Milk, chocolate",Chocolate,Milk Chocolate | Red Confectionery Coating | Confectionery Coating | Cocoa Butter,dairy | sweetener | other | oil_fat,Y,Y,,,,,,,,,,
2586,other,"CHOCOLATE COVERED CRISPY EGGS WITH CREAMY CARAMEL FILLING, CHOCOLATE COVERED WITH CREAMY CARAMEL",Chocolate,"Chocolate, milk, tasting square","Milk, chocolate",Chocolate,Milk Chocolate | Semisweet Chocolate | Palm Oil | Sugar | Milk Powder,dairy | sweetener | oil_fat | sweetener | dairy,Y,Y,,,,,,,,,,
2586,other,"CHOCOLATE COVERED CRISPY EGGS WITH CREAMY COCOA FILLING, COCOA",Chocolate,"Chocolate, milk, tasting square","Milk, chocolate",Chocolate,Semisweet Chocolate | Milk Chocolate | Sugar | Palm Oil | Cocoa,sweetener | dairy | sweetener | oil_fat | produce,Y,Y,,,,,,,,,,
2586,other,"CHOCOLATE ROSE, CHOCOLATE",Chocolate,"Chocolate, sugar free","Milk, chocolate",Chocolate,Sugar | Cocoa Butter | Whole Milk Powder | Cocoa Mass | Emulsifiers,sweetener | oil_fat | dairy | produce | label_note,Y,Y,,,,,,,,,,
2586,other,CHOCOLATE,Chocolate,"Chocolate, sugar free","Milk, chocolate",Chocolate,Milk Chocolate,dairy,Y,Y,,,,,,,,,,
2586,other,"CHERRY CORDIALS, CHERRY",Chocolate,"Candy, cherries, milk chocolate covered","Milk, chocolate",Chocolate,Semisweet Chocolate | Sugar | Maraschino Cherries | Brandy | Maraschino Cherry Juice,sweetener | sweetener | produce | alcohol | produce,Y,Y,,,,,,,,,,
2586,other,"CHOCOLATE STARS, CHOCOLATE",Chocolate,"Chocolate, sugar free","Milk, chocolate",Chocolate,Sugar | Cocoa Butter | Whole Milk | Chocolate Liquor | Soy Lecithin,sweetener | oil_fat | dairy | produce | emulsifier,Y,Y,,,,,,,,,,
2586,other,"MILK CHOCOLATEY TO-DIE-FOR CHOCOLATEY CREME LAYERED BETWEEN DELICATE WAFERS HEAVENLY CRISP CANDY BARS, MILK CHOCOLATEY",Chocolate,"Candy Bar, crisp wafer, 100 calorie","Milk, chocolate",Chocolate,Sugar | Hydrogenated Palm Kernel  | Wheat Flour | Cocoa Processes with Alka | Nonfat Milk,sweetener | oil_fat | grain | produce | dairy,Y,Y,,,,,,,,,,chocolate > milk_chocolate
2586,other,DIVINES SWEETLY SEDUCTIVE FILLED CHOCOLATE,Chocolate,"Candy, chocolate, caramel filled, sugar free","Milk, chocolate",Chocolate,Milk Chocolate | Corn Syrup | Milk | Nonfat Milk | Butter,dairy | sweetener | dairy | dairy | dairy,Y,Y,,Y,,,,,,,,
