cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
662,other,Silk Extended Shelf Life Pure Almond 64oz Original,Milk/Milk Substitutes,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt | Gellan Gum,dairy | sweetener | vitamin | mineral | thickener,,Y,,,,,Y,,,,,
662,other,"Silk Pure Almond Original 32oz, Shelf Stable",Milk/Milk Substitutes,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Vitamin and Mineral Blend | Sea Salt | Gellan Gum | Locust Bean Gum,dairy | vitamin | mineral | thickener | thickener,,Y,,,,,Y,,,,,
662,other,"Silk Pure Almond Original 6/32oz , Shelf Stable",Milk/Milk Substitutes,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt | Gellan Gum,dairy | sweetener | vitamin | mineral | thickener,,Y,,,,,Y,,,,,
662,other,"Silk Pure Almondmilk Unsweetened 64oz, Extended Shelf Life",Milk/Milk Substitutes,"Almond Milk, Almond Breeze, original, unsweetened","Almond Milk, plain",Plant Based Milk,Almondmilk | Vitamin and Mineral Blend | Sea Salt | Gellan Gum | Sunflower Oil,dairy | vitamin | mineral | thickener | oil_fat,,Y,,,,,Y,,,,,
662,other,"Silk Pure Almondmilk Unsweetened 32oz, Shelf Stable",Milk/Milk Substitutes,"Almond Milk, Almond Breeze, original, unsweetened","Almond Milk, plain",Plant Based Milk,Almondmilk | Vitamin and Mineral Blend | Sea Salt | Gellan Gum | Locust Bean Gum,dairy | vitamin | mineral | thickener | thickener,,Y,,,,,Y,,,,,
662,other,"Silk Pure Almondmilk Unsweetened 6/32oz, Shelf Stable",Milk/Milk Substitutes,"Almond Milk, Almond Breeze, original, unsweetened","Almond Milk, plain",Plant Based Milk,Almondmilk | Vitamin and Mineral Blend | Sea Salt | Gellan Gum | Locust Bean Gum,dairy | vitamin | mineral | thickener | thickener,,Y,,,,,Y,,,,,
662,other,Silk Almondmilk Unsweetened Original 96oz,Milk/Milk Substitutes,"Almond Milk, Almond Breeze, original, unsweetened","Almond Milk, plain",Plant Based Milk,Almondmilk | Vitamin and Mineral Blend | Sea Salt | Gellan Gum | Sunflower Oil,dairy | vitamin | mineral | thickener | oil_fat,,Y,,,,,Y,,,,,
662,other,"Silk Organic Soymilk Unsweetened 64oz, Extended Shelf Life",Milk/Milk Substitutes,"Soy Milk, all flavors, unsweetened, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Organic Soymilk | Vitamin and Mineral Blend | Sea Salt | Gellan Gum | Vitamin C,dairy | vitamin | mineral | thickener | vitamin,,Y,,,,,,,,,,
662,other,"Silk Soymilk Original 64oz, Extended Shelf Life",Milk/Milk Substitutes,"Soy Milk, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Calcium Phosphate | Calcium Carbonate | Vitamin E Acetate,dairy | sweetener | mineral | mineral | vitamin,,Y,,,,,,,,,,
662,other,Silk Soymilk Original 2pk/64oz Extended Shelf Life,Milk/Milk Substitutes,"Soy Milk, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Calcium Phosphate | Calcium Carbonate | Vitamin E Acetate,dairy | sweetener | mineral | mineral | vitamin,,Y,,,,,,,,,,
662,other,Silk Original Almondmilk,Milk/Milk Substitutes,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt | Gellan Gum,dairy | sweetener | vitamin | mineral | thickener,,Y,,,,,Y,,,,,
662,other,Silk Original Oatmilk,Milk/Milk Substitutes,"Drink, oat, plain","Almond Milk, plain",Plant Based Milk,Oatmilk | Sunflower Oil | Vitamin and Mineral Blend | Dipotassium Phosphate | Sea Salt,grain | oil_fat | vitamin | stabilizer | mineral,,Y,,,,,,,,,,
662,other,Silk Unsweet Extra Creamy Almondmilk 59 floz,Milk/Milk Substitutes,"Almond Milk, Almond Breeze, original, unsweetened","Almond Milk, plain",Plant Based Milk,Almondmilk | Sunflower and/or Almond a | Vitamin and Mineral Blend | Sea Salt | Gellan Gum,dairy | oil_fat | vitamin | mineral | thickener,,Y,,,,,Y,,,,,
662,other,Silk Extra Creamy Original Almond Milk 59 floz,Milk/Milk Substitutes,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Sunflower and/or Almond a | Vitamin and Mineral Blend | Sea Salt,dairy | sweetener | oil_fat | vitamin | mineral,,Y,,,,,Y,,,,,
662,other,"ORIGINAL ALMOND ALMONDMILK, ALMOND",Cream,"Cream Substitute, flavored, liquid","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt | Gellan Gum,dairy | sweetener | vitamin | mineral | thickener,,Y,,,,,Y,,,,,
662,other,UNSWEET COCONUTMILK,Cream,"Cream Substitute, coconut milk, original","Almond Milk, plain",Plant Based Milk,Coconutmilk | Vitamin and Mineral Blend | Dipotassium Phosphate | Sea Salt | Sunflower Lecithin,dairy | vitamin | stabilizer | mineral | emulsifier,,Y,,Y,,,,,,,,
662,other,ORGANIC SOY UNSWEET SOYMILK,Plant Based Milk,"Soy Milk, all flavors, unsweetened, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Organic Soymilk | Vitamin and Mineral Blend | Sea Salt | Gellan Gum | Vitamin C,dairy | vitamin | mineral | thickener | vitamin,,Y,,,,,,,,,,
662,other,ORIGINAL SOYMILK,Plant Based Milk,"Soy Milk, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt | Sodium Ascorbate,dairy | sweetener | vitamin | mineral | preservative,,Y,,,,,,,,,,
662,other,"HINT OF PUMPKIN SPICE ALMONDMILK, PUMPKIN SPICE",Milk,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Vitamin and Mineral Blend | Dipotassium Phosphate | Sea Salt,dairy | sweetener | vitamin | stabilizer | mineral,,Y,,,,,Y,,,,,
662,other,ORIGINAL ALMONDMILK,Cream,"Cream Substitute, flavored, liquid","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt | Gellan Gum,dairy | sweetener | vitamin | mineral | thickener,,Y,,,,,Y,,,,,
662,other,UNSWEET EXTRA CREAMY ALMONDMILK,Cream,"Cream Substitute, light & creamy, dry","Almond Milk, plain",Plant Based Milk,Almondmilk | Sunflower and/or Almond a | Vitamin and Mineral Blend | Sea Salt | Gellan Gum,dairy | oil_fat | vitamin | mineral | thickener,,Y,,,,,Y,,,,,
662,other,ORIGINAL EXTRA CREAMY ALMONDMILK,Cream,"Cream Substitute, light & creamy, dry","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Sunflower and/or Almond a | Vitamin and Mineral Blend | Sea Salt,dairy | sweetener | oil_fat | vitamin | mineral,,Y,,,,,Y,,,,,
662,other,"ORIGINAL ORGANIC SOYMILK, ORIGINAL",Plant Based Milk,"Soy Milk, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Organic Soymilk | Organic Cane Sugar | Vitamin and Mineral Blend | Sea Salt | Natural Flavor,dairy | sweetener | vitamin | mineral | flavor_enhan,,Y,,,,,,,,,,
662,other,"ORIGINAL ALMONDMILK, ORIGINAL",Plant Based Milk,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt | Gellan Gum,dairy | sweetener | vitamin | mineral | thickener,,Y,,,,,Y,,,,,almond_milk > original
662,other,"CHOCOLATE SOYMILK, CHOCOLATE",Plant Based Milk,"Soy Milk, chocolate, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Cocoa | Guar Gum | Sea Salt,dairy | sweetener | produce | thickener | mineral,Y,Y,,,,,,,,,,milk > chocolate
662,other,"ORIGINAL SOYMILK, ORIGINAL",Plant Based Milk,"Soy Milk, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt | Gellan Gum,dairy | sweetener | vitamin | mineral | thickener,,Y,,,,,,,,,,
662,other,"UNSWEET ORGANIC SOYMILK, UNSWEET",Plant Based Milk,"Soy Milk, all flavors, unsweetened, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Organic Soymilk | Vitamin and Mineral Blend | Salt | Gellan Gum | Natural Flavor,dairy | vitamin | mineral | thickener | flavor_enhan,,Y,,,,,,,,,,
662,other,"CHOCOLATE SOYMILK, CHOCOLATE",Plant Based Milk,"Soy Milk, chocolate, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Cocoa | Guar Gum | Sea Salt,dairy | sweetener | produce | thickener | mineral,Y,Y,,,,,,,,,,milk > chocolate
662,other,"SILK, COCONUTMILK, ORIGINAL, ORIGINAL",Plant Based Milk,"Cream Substitute, coconut milk, original","Almond Milk, plain",Plant Based Milk,Coconutmilk | Cane Sugar | Vitamin & Mineral Blend | Sea Salt | Natural Flavor,dairy | sweetener | vitamin | mineral | flavor_enhan,,Y,,Y,,,,,,,,
662,other,"SILK, ALMONDMILK, ORIGINAL, ORIGINAL",Plant Based Milk,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Sea Salt | Locust Bean Gum | Sunflower Lecithin,dairy | sweetener | mineral | thickener | emulsifier,,Y,,,,,Y,,,,,almond_milk > original
662,other,"SILK, SOYMILK, CHOCOLATE, CHOCOLATE",Plant Based Milk,"Soy Milk, chocolate, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Cocoa | Guar Gum | Sea Salt,dairy | sweetener | produce | thickener | mineral,Y,Y,,,,,,,,,,milk > chocolate
