cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
799,other,Nestle NIDO 1+ Toddler Milk Beverage 1.6kg Can,Milk/Milk Substitutes,"Milk, whole, 3.25%, with added vitamin D","Ice Cream, egg nog",Milk,Dried Sweet Whey | Nonfat Milk | Reduced Minerals Whey | Maltodextrin | Vegetable Oils,dairy | dairy | dairy | thickener | oil_fat,,Y,,,,,,,,,,
799,other,EGG NONG,Milk,Milk,"Ice Cream, egg nog",Milk,Skim Milk | Cream | Sugar | Non Fat Dry Milk | Egg Yolk Solids,dairy | dairy | sweetener | dairy | dairy,,Y,Y,Y,,,,,,,,
799,other,EGG YOLK NOUGAT,Candy,"Candy Bar, chocolate nougat, chocolate covered","Ice Cream, egg nog",Milk,Sugar | Almond | Egg Yolk | Glucose-Fructose Syrup | Water,sweetener | produce | protein | sweetener | other,,,Y,,,,Y,,,,,
799,other,"TOASTED EGG YOLK NOUGAT, TOASTED EGG",Candy,"Candy Bar, chocolate nougat, chocolate covered","Ice Cream, egg nog",Milk,Almonds | Sugar | Egg Yolk | Glucose Syrup,produce | sweetener | protein | sweetener,,,Y,,,,Y,,,,,
799,other,"VANILLA EGG NAG, VANILLA",Milk,"Milk, whole, 3.5%, homogenized, with added vitamin D","Ice Cream, egg nog",Milk,Whole Milk | Heavy Cream | Granulated Sugar | Egg Yolks | Whey Powder,dairy | dairy | sweetener | protein | dairy,,Y,Y,Y,,,,,,,,
799,other,A2 SPICE NOG,Milk,Eggnog,"Ice Cream, egg nog",Milk,Milk | Cream | Cane Sugar | Spices | Organic Mace,dairy | dairy | sweetener | spice | other,,Y,,Y,,,,,,,,
799,dairy beverage,"INTERNATIONAL DELIGHT, NOG, DAIRY BEVERAGE",Milk,Eggnog,"Ice Cream, egg nog",Milk,Skim Milk | Sugar | Corn Syrup | Cream | Whey,dairy | sweetener | sweetener | dairy | dairy,,Y,,Y,,,,,,,,
799,dairy beverage,"HOLLY NOG LOWFAT EGGNOG FLAVORED DAIRY BEVERAGE, HOLLY NOG",Milk,"Eggnog, low fat, holiday, with added vitamin A","Ice Cream, egg nog",Milk,Milk | Nonfat Milk | High Fructose Corn Syrup | Egg Yolk | Whey,dairy | dairy | sweetener | protein | dairy,,Y,Y,,,,,,,,,eggnog
799,dairy beverage,"GOLDEN NOG DAIRY BEVERAGE, GOLDEN NOG",Milk,Eggnog,"Ice Cream, egg nog",Milk,Milk | Skim Milk | Liquid Sugar | Whey | Guar Gum,dairy | dairy | sweetener | dairy | thickener,,Y,,,,,,,,,,
799,dairy beverage,GOLDEN NOG DAIRY BEVERAGE,Milk,Eggnog,"Ice Cream, egg nog",Milk,Milk | Skim Milk | Liquid Sugar,dairy | dairy | sweetener,,Y,,,,,,,,,,
799,egg nog,"OLD FASHIONED EGG NOG FLAVORED ULTRA PASTEURIZED, OLD FASHIONED EGG NOG",Milk,Eggnog,"Ice Cream, egg nog",Milk,Milk and Cream | Water | Corn Syrup. Sugar | Whey | Egg Yolks,dairy | other | sweetener | dairy | protein,,Y,Y,Y,,,,,,,,eggnog
799,egg nog,EGG NOG,Milk,Eggnog,"Ice Cream, egg nog",Milk,Milk | High Fructose Corn Syrup | Cream | Pasteurized Egg Yolk | Sugar,dairy | sweetener | dairy | dairy | sweetener,,Y,Y,Y,,,,,,,,eggnog
799,egg nog,EGG NOG,Milk,Eggnog,"Ice Cream, egg nog",Milk,Milk | Cream | Sugar | Corn Syrup | High Fructose Corn Syrup,dairy | dairy | sweetener | sweetener | sweetener,,Y,Y,Y,,,,,,,,eggnog
