cluster_id,l1_tree_label,l1_modal_bfc,product_description,branded_food_category,ingredients_top5,has_cocoa,has_milk,has_egg,has_almond,what_should_it_be,cluster_other_pct,cluster_other_count,cluster_total
672,"Sauce, cilantro & lime, Mexican Creations, cooking","Oriental, Mexican & Ethnic Sauces",PREMIUM CAYENNE PEPPER SAUCE,"Oriental, Mexican & Ethnic Sauces",Aged Red Cayenne Peppers | Vinegar | Salt | Natural Flavor | Xanthan Gum,,,,,,94.4,888,941
672,"Sauce, cilantro & lime, Mexican Creations, cooking","Oriental, Mexican & Ethnic Sauces",MEDIUM SAUCE,"Oriental, Mexican & Ethnic Sauces",Water | Cayenne Pepper | Distilled Vinegar | Soybean Oil | Salt,,,Y,,,94.4,888,941
672,"Sauce, cilantro & lime, Mexican Creations, cooking","Oriental, Mexican & Ethnic Sauces",POLYNESIAN SAUCE,"Oriental, Mexican & Ethnic Sauces",Sugar | Soybean Oil | Water | Corn Syrup | Corn Cider Vinegar,,,,,,94.4,888,941
672,"Sauce, cilantro & lime, Mexican Creations, cooking","Oriental, Mexican & Ethnic Sauces","WONDERSHOP AT TARGET HOT SAUCE CHALLENGE, 3 FL OZ, 10 COUNT","Oriental, Mexican & Ethnic Sauces",Vinegar | Jalapeño Peppers | Garlic | Xanthan Gum | Vitamin C,,,,,,94.4,888,941
672,"Sauce, cilantro & lime, Mexican Creations, cooking","Oriental, Mexican & Ethnic Sauces","TRADER JOE'S, MASALA SIMMER SAUCE","Oriental, Mexican & Ethnic Sauces",Tomato Puree | Tomatoes | Light Cream | Onions | Ginger,,Y,,,,94.4,888,941
672,"Sauce, cilantro & lime, Mexican Creations, cooking","Oriental, Mexican & Ethnic Sauces",ORIGINAL FLAVOR PEPPER SAUCE,"Oriental, Mexican & Ethnic Sauces",Distilled Vinegar | Red Pepper | Salt,,,,,,94.4,888,941
672,"Sauce, cilantro & lime, Mexican Creations, cooking","Oriental, Mexican & Ethnic Sauces",ORIGINAL FLAVOR PEPPER SAUCE,"Oriental, Mexican & Ethnic Sauces",Distilled Vinegar | Red Pepper | Salt,,,,,,94.4,888,941
672,"Sauce, cilantro & lime, Mexican Creations, cooking","Oriental, Mexican & Ethnic Sauces","TABASCO HABANERO HOT! SAUCE, 2 FL OZ","Oriental, Mexican & Ethnic Sauces",Distilled Vinegar | Habanero Pepper | Cane Sugar | Tabasco Brand Pepper Sauc | Salt,,,,,,94.4,888,941
672,"Sauce, cilantro & lime, Mexican Creations, cooking","Oriental, Mexican & Ethnic Sauces",SWEET & SPICY SAUCE,"Oriental, Mexican & Ethnic Sauces",Sugar | Red Pepper | Water | Distilled Vinegar | Pear Concentrate,,,,,,94.4,888,941
672,"Sauce, cilantro & lime, Mexican Creations, cooking","Oriental, Mexican & Ethnic Sauces",HOT 57 SAUCE,"Oriental, Mexican & Ethnic Sauces",Distilled White Vinegar | Tomato Puree | High Fructose Corn Syrup | Jalapeno Pepper Puree | Malt Vinegar,,,,,,94.4,888,941
1638,"Popcorn, caramel corn, with peanuts","Popcorn, Peanuts, Seeds & Related Snacks","RITTER SPORT, KNUSPERFLAKES MIT KNUSPRIGEN CORNFLAKES","Popcorn, Peanuts, Seeds & Related Snacks",Sugar | Cocoa Butter | Cream Powder | Corn | Cocoa Mass,Y,,,,,97.6,806,826
