#token	notes
baby	baby food
infant	infant
toddler	toddler
kid	kid
kids	kids
child	children
children	children
junior	juvenile
adult	adult
senior	senior
men	men's
women	women's
maternity	maternity / pregnancy
prenatal	prenatal
breakfast	target meal occasion (breakfast)
lunch	target meal occasion
dinner	target meal occasion
snack	target meal occasion (snack-marketed)
postworkout	post-workout
preworkout	pre-workout
recovery	recovery
athlete	athlete
sport	sport (also functional)
performance	performance
