#token	notes
lunchables	Lunchables-style stacker
dippables	dipper format
dippers	dipper
dipper	dipper
duo	2-component
trio	3-component
combo	combo pack
bundle	bundle pack
multipack	multi-pack
variety	variety pack
snackpack	snack pack
snack-pack	snack pack
cup	side cup (often combo)
cups	side cups
tray	combo tray (also dish)
plate	combo plate (also dish)
platter	platter (also dish)
sampler	sampler
bento	bento box
charcuterie	charcuterie board
board	cheese/charcuterie board
kit	meal/snack kit (also dish)
pack	pack
packs	packs
serving	per-serving combo
servings	per-serving combo
toppers	toppers (yogurt + topping)
toppings	toppings
mix-in	mix-in
mixins	mix-ins
mix-ins	mix-ins
toppings	toppings
sides	side cups
