#token	notes
whole	intact
sliced	cut into slices
slices	slices
slice	slice
diced	diced cubes
dices	diced cubes
cubed	cubed
cubes	cubes
chunks	chunks
chunked	chunks
chunk	chunk
minced	minced
ground	ground
crumbled	crumbled
crumble	crumble
crumbles	crumbles
crumb	crumb
crumbs	crumbs
shredded	shredded
shred	shred
grated	grated
gratings	gratings
halves	halves
halved	halved
quartered	quartered
quarters	quarters
wedged	wedged
wedges	wedges
strips	strips
sticks	sticks
ringlets	rings
rings	rings
pitted	pitted
peeled	peeled
cored	cored
seeded	seeded
seedless	seedless
stemmed	stemmed
crushed	crushed
smashed	smashed
mashed	mashed
riced	riced
spiralized	spiralized
julienne	julienne
chopped	chopped
sectioned	sectioned
segments	segments
segmented	segmented
fillet	fillet (also form)
fillets	fillet (also form)
strip	strip (cut)
patty	patty cut
patties	patty cut
nugget	nugget shape
nuggets	nugget shape
batons	batons
matchsticks	matchsticks
shavings	shavings
ribbons	ribbons
slabs	slabs
medallions	medallions
breast	chicken/turkey breast cut
breasts	breasts
thigh	thigh
thighs	thighs
drumstick	drumstick
drumsticks	drumsticks
wing	wing
wings	wings
tenderloin	tenderloin
tender	tenders cut
tenders	tenders
loin	loin
shank	shank
shoulder	shoulder
ribs	ribs
rib	rib
chop	chop
chops	chops
flank	flank
brisket	brisket
boneless	boneless
bonein	bone-in
skinless	skinless
skinon	skin-on
trimmed	trimmed
cut	generic 'cut' (in context)
crinklecut	crinkle-cut
shoestring	shoestring
waffle	waffle-cut (compound)
fry	fry-cut (compound)
butterfly	butterfly cut
butterflied	butterflied
spiral	spiral-cut
flat	flat-cut
center	center-cut (compound)
hand	hand-cut (compound)
mini	mini-sized cut
miniature	miniature
minis	miniatures
bite	bite-sized
bitesized	bite-sized
trim	trim
trimmings	trimmings
fine	fine cut/grain
long	long-grain (compound)
short	short-grain (compound)
medium	medium-grain (compound)
bell	bell pepper (compound)
shell	shell (taco shell)
shells	shells (pasta/taco)
petite	petite cut
bone	bone-in/boneless (compound)
bones	bones
split	split peas / banana split
splits	splits
leaf	leaf (lettuce/herb)
leaves	leaves
bits	bacon bits / chocolate bits
crumb	crumb
crumbs	bread crumbs (also category)
cracked	cracked (pepper/wheat)
spears	spears (asparagus/pickle)
florets	florets (broccoli/cauli)
kernels	kernels (corn)
kernel	kernel (corn)
tail	tail (shrimp/lobster)
tails	tails
peel	peel
hair	hair (angel hair pasta)
matchstick	matchstick cut
ribbons	ribbons
log	log cut (cookie log)
logs	logs
bricks	bricks (cheese)
brick	brick
block	block (cheese)
blocks	blocks
twists	twists
ringlets	ringlets
chunky	chunky cut
round	round (cut/shape — bread/pasta)
square	square (cut)
rectangular	rectangular
oval	oval
heart-shaped	heart-shaped
flowershaped	flower-shaped
star-shaped	star-shaped
animal-shaped	animal-shaped
