#token	notes
plain	flavor: plain/unflavored
original	flavor: original/baseline (also brand-noise)
flavored	generic flavored marker
flavor	generic flavor marker
classic	flavor: classic
seasoned	flavor: seasoned
spiced	flavor: spiced
herbed	flavor: herbed
smoked	flavor: smoked (also prep)
vanilla	vanilla
chocolate	chocolate (also category sometimes)
chocolatey	chocolatey
cocoa	cocoa
cacao	cacao
mocha	mocha
matcha	matcha
caramel	caramel
butterscotch	butterscotch
toffee	toffee
maple	maple (also sweetener)
honey	honey (also sweetener)
molasses	molasses (also sweetener)
cinnamon	cinnamon
ginger	ginger
turmeric	turmeric
nutmeg	nutmeg
clove	clove
cloves	clove
cardamom	cardamom
allspice	allspice
saffron	saffron
sumac	sumac
peppermint	peppermint
mint	mint
spearmint	spearmint
wintergreen	wintergreen
licorice	licorice
anise	anise
fennel	fennel
strawberry	strawberry
blueberry	blueberry
raspberry	raspberry
blackberry	blackberry
cranberry	cranberry
boysenberry	boysenberry
elderberry	elderberry
cherry	cherry
peach	peach
mango	mango
pineapple	pineapple
banana	banana
coconut	coconut
lemon	lemon
lime	lime
orange	orange
tangerine	tangerine
mandarin	mandarin
clementine	clementine
grapefruit	grapefruit
grape	grape
watermelon	watermelon
melon	melon
cantaloupe	cantaloupe
honeydew	honeydew
apple	apple (also category)
apricot	apricot
plum	plum
pomegranate	pomegranate
passion	passion fruit (compound)
passionfruit	passion fruit
dragonfruit	dragon fruit
guava	guava
papaya	papaya
acai	acai
goji	goji
acerola	acerola
berry	berry (generic)
berries	berries
fruit	fruit (generic flavor when modifier)
tropical	tropical (flavor blend hint)
citrus	citrus blend
pumpkin	pumpkin (compound 'pumpkin spice')
spice	spice (compound 'pumpkin spice')
horchata	horchata
chai	chai
toasted	toasted (also prep)
smoky	smoky
spicy	spicy
sweet	sweet (also sweetener)
savory	savory
sour	sour
tart	tart
hot	hot/spicy
mild	mild
medium	medium
zesty	zesty
tangy	tangy
bbq	bbq
barbecue	barbecue
ranch	ranch
buffalo	buffalo
jalapeno	jalapeño
jalapeño	jalapeño
chipotle	chipotle
habanero	habanero
sriracha	sriracha
tabasco	tabasco
wasabi	wasabi
horseradish	horseradish
dill	dill
onion	onion (flavor mod)
garlic	garlic
rosemary	rosemary
basil	basil
oregano	oregano
thyme	thyme
sage	sage
parsley	parsley
cilantro	cilantro
cumin	cumin
coriander	coriander
paprika	paprika
pepper	pepper (flavor mod)
peppercorn	peppercorn
peppered	peppered
mustard	mustard
ketchup	ketchup
mayo	mayonnaise (also category)
sweetnsour	sweet & sour
teriyaki	teriyaki
soy	soy sauce flavor (also category)
hoisin	hoisin
ponzu	ponzu
tamari	tamari
miso	miso
worcestershire	worcestershire
oldfashioned	old fashioned
roasted	roasted (also prep)
caramelized	caramelized (also prep)
glazed	glazed (also prep)
candied	candied (also prep)
nutmeg	nutmeg
pecan	pecan
walnut	walnut
hazelnut	hazelnut
pistachio	pistachio
macadamia	macadamia
almond	almond (often category but can be flavor for cookie/ice cream)
cashew	cashew
peanut	peanut
sunflower	sunflower
pumpkinseed	pumpkin seed
chia	chia (often inclusion)
flax	flax (often inclusion)
hemp	hemp
sesame	sesame
poppyseed	poppy seed
quinoa	quinoa
buckwheat	buckwheat
amaranth	amaranth
millet	millet
spelt	spelt
sprouted	sprouted
ancient	ancient grains (compound)
multigrain	multigrain
wholegrain	whole grain
wholewheat	whole wheat
sourdough	sourdough
ryebread	rye bread (compound)
rye	rye
barley	barley
oat	oat
oats	oats
sea	sea (compound 'sea salt')
fire	fire-roasted (compound)
hickory	hickory smoke flavor
mesquite	mesquite
applewood	applewood
cherrywood	cherrywood
oak	oak
beech	beech
balsamic	balsamic
vinaigrette	vinaigrette
caesar	caesar
italian	italian (also cuisine)
ranch	ranch
greek	greek (also cuisine)
poppy	poppy seed (compound)
everything	everything bagel (everything seasoning)
bagel	bagel seasoning
nacho	nacho (cheesy chip flavor)
queso	queso (cheesy)
cheesy	cheesy
buttermilk	buttermilk (flavor)
sourcream	sour cream (flavor)
ranch	ranch dressing flavor
aioli	aioli flavor
pesto	pesto flavor (also category)
alfredo	alfredo flavor
marinara	marinara flavor
garlic	garlic flavor
gingerbread	gingerbread
cookiedough	cookie dough (compound)
cookiesncream	cookies and cream
cookiesandcream	cookies and cream
strawberriesandcream	strawberries and cream
peanutbutter	peanut butter (flavor & category)
sugarcookie	sugar cookie
gingersnap	ginger snap
oatmealraisin	oatmeal raisin
chocolatechip	chocolate chip
chocolatecovered	chocolate-covered
yogurtcovered	yogurt-covered
honeyroasted	honey-roasted
maplebrown	maple brown
brown	brown sugar (compound — also COLOR)
sugarcoated	sugar-coated
mores	s'mores
smores	s'mores
rocky	rocky road (compound)
neapolitan	neapolitan
spumoni	spumoni
rumraisin	rum raisin
moosetracks	moose tracks
mintchip	mint chip
mintchocolate	mint chocolate
chocolatemint	chocolate mint
butterpecan	butter pecan
maplewalnut	maple walnut
mapleleaf	maple leaf
caramelapple	caramel apple
applepie	apple pie
pumpkinpie	pumpkin pie
sweetpotatopie	sweet potato pie
blueberrymuffin	blueberry muffin
gingersnap	gingersnap
graham	graham (cracker)
grahamcracker	graham cracker
crouton	crouton (flavor for soups/salads)
