#token	notes
oz	size
fl	fluid
ml	size
gal	size
quart	size
pint	size
tbsp	size
tsp	size
gram	size
grams	size
kg	size
lb	size
lbs	size
pound	size
pounds	size
count	size
ct	size
ea	size
case	size
size	noise
large	size descriptor
small	size descriptor
mini	size descriptor (also CUT)
jumbo	size descriptor
family	size descriptor
single	size descriptor
double	size descriptor
triple	size descriptor
twin	size descriptor
plus	noise / size
xtra	noise
new	noise
the	noise
of	noise
a	noise
an	noise
in	noise
on	noise
at	noise
by	noise
for	noise
to	noise
or	noise
de	noise (Spanish)
la	noise (Spanish)
el	noise (Spanish)
y	noise (Spanish)
con	noise (Spanish)
sin	noise (Spanish)
all	noise
made	noise
crafted	noise
contains	noise
includes	noise
serves	noise
servings	noise
serving	noise
inc	corp suffix
llc	corp suffix
co	corp suffix
corp	corp suffix
brand	noise
brands	noise
foods	corp/brand noise
food	context — sometimes noise
favorite	marketing fluff
delicious	marketing fluff
tasty	marketing fluff
yummy	marketing fluff
enjoy	marketing fluff
perfect	marketing fluff
best	marketing fluff
great	marketing fluff
good	marketing fluff
super	marketing fluff
ultra	marketing fluff
limited	limited edition
edition	edition
real	noise
true	noise
pure	keep — sometimes flavor
simply	noise
simple	noise
just	noise
only	noise
even	noise
much	noise
more	noise
less	noise
better	marketing fluff
nutritious	marketing fluff
hearty	marketing fluff
indulgent	marketing fluff
craft	marketing fluff
each	size
unit	size
units	size
total	noise
net	noise
weight	noise
wt	noise
each	size
piece	size
pieces	size
style	style (compound; the cuisine word carries signal — leave 'style' here)
product	noise
oz	size
pkg	size
ozs	size
sz	size
qty	size
pcs	size
size	size
fashion	fashion (often 'old fashioned' compound)
fashioned	old-fashioned (compound — paired w/ 'old')
favorite	marketing
top	marketing
no	keep — paired with claim ('no salt added')
non	keep — paired with diet ('non dairy')
low	keep — paired with claim ('low fat')
high	keep — paired with claim ('high protein')
reduced	keep — paired ('reduced fat')
zero	keep — paired ('zero sugar')
free	keep — paired ('sugar free')
added	keep — paired ('no salt added')
extra	keep — paired ('extra crispy')
fancy	marketing
supreme	marketing (sometimes flavor)
deluxe	marketing
premium	marketing
gourmet	marketing
authentic	marketing
heritage	marketing
classic	marketing (sometimes flavor)
traditional	marketing
homestyle	homestyle (also cuisine)
homemade	marketing
oldfashioned	old-fashioned
farm	farm-marketing
farms	farm-marketing
market	farm-marketing
country	country-style (also cuisine)
garden	garden-marketing (sometimes flavor)
village	village-marketing (also cuisine)
harvest	harvest-marketing
ranch	keep — flavor (ranch dressing)
recipe	noise (marketing)
secret	noise
signature	noise
choice	noise
chefs	chefs (marketing)
chef	chef (marketing)
choice	choice
quality	quality
finest	finest
purest	purest
freshest	freshest
real	real
true	true
authentic	authentic
brand	brand
name	name
name-brand	name-brand
your	noise
my	noise
our	noise
its	noise
us	noise
we	noise
i	noise
me	noise
you	noise
your	noise
this	noise
that	noise
those	noise
these	noise
each	noise
every	noise
some	noise
any	noise
much	noise
more	noise
most	noise
many	noise
few	noise
one	noise
two	noise
three	noise
four	noise
five	noise
six	noise
seven	noise
eight	noise
nine	noise
ten	noise
hundred	noise
thousand	noise
million	noise
half	noise (compound 'half and half' uses 'half')
quarter	noise
several	noise
many	noise
both	noise
neither	noise
either	noise
this	noise
that	noise
go	'on the go' compound
ago	noise
not	noise
now	noise
then	noise
when	noise
where	noise
how	noise
why	noise
what	noise
which	noise
who	noise
whom	noise
whose	noise
because	noise
since	noise
until	noise
while	noise
during	noise
before	noise
after	noise
ago	noise
around	noise
about	noise
across	noise
through	noise
between	noise
within	noise
without	noise
along	noise
over	noise
under	noise
above	noise
below	noise
inside	noise
outside	noise
near	noise
far	noise
ounce	size word
ounces	size word
gramme	size word
mililiter	size word
liter	size word
liters	size word
litre	size word
litres	size word
oz.	size word
floz	size word
ml.	size word
g	size word
gr	size word
lbs.	size word
lb.	size word
oz.	size word
qt	size word
qts	size word
pint	size
pints	size
gallon	size
gallons	size
gal.	size word
party	marketing (party size)
familysize	family size
sharingsize	sharing size
snackables	marketing
goto	go-to marketing
top	top marketing
selling	selling
choice	choice marketing
favorites	favorites marketing
beloved	marketing
yourway	your way marketing
#	hash
&	ampersand
+	plus
=	equal
%	percent
inch	size
inches	size
in.	size
gluten	keep — diet compound
crust	keep — category/form
non-gmo	diet compound
no-sugar	keep — claim
yum	marketing
feed	noise
on	noise
go	'on-the-go' compound
go-to	noise
inspired	noise (marketing)
adventure	noise
fun	noise
taste	noise
tastes	noise
flavor	keep — flavor axis
flavors	keep — flavor axis
limited	noise
seasonal	keep — soft signal
released	noise
new	noise
edition	noise
release	noise
introducing	noise
since	noise
established	noise
est	noise
oz	size
fl	size
fluid	size
ounce	size
servings	size
serving	size
container	size word
package	size word
packed	noise (also storage)
boxes	size
bag	size
bags	size
box	size word
crate	size word
container	size
containers	size
size	size
sizes	size
formula	noise (claim)
classic	keep — flavor
crisp	keep — form
soft	keep — texture
hard	keep — texture
thin	keep — texture/cut
thick	keep — texture/cut
mild	keep — flavor
medium	keep — flavor
rich	noise
delicate	noise
bright	noise
bold	noise
deep	noise
robust	noise
hearty	noise
chefs	noise
chef	noise
favorite	noise
selection	noise
collection	noise
selection	noise
recipe	keep ('original recipe' is a flavor)
treat	noise
treats	noise
variety	noise (also COMBO_FORMAT)
choice	noise
brand	noise
brands	noise
made	noise
made-with	noise
quality	noise
extras	noise
includes	noise
served	noise
serve	noise
serves	noise
drink	keep — form
beverage	keep — form
tasting	noise
tastes	noise
recipes	noise
recipe	noise
choices	noise
options	noise
collection	noise
selection	noise
favorite	noise
favorites	noise
authentic	noise
genuine	noise
finer	noise
better-tasting	noise
handcrafted	noise
small-batch	noise
homestyle	keep (cuisine)
homemade	noise
craft	noise
crafted	noise
masterpiece	noise
masterful	noise
made	noise
crafted	noise
done	noise
true	noise
real	noise
pure	keep — sometimes claim (pure honey)
all-natural	keep — diet
brand	noise
exclusive	noise
exclusively	noise
specialty	noise
specialties	noise
unique	noise
uncommon	noise
rare	noise
common	noise
ordinary	noise
extraordinary	noise
amazing	noise
incredible	noise
wonderful	noise
lovely	noise
beautiful	noise
stunning	noise
gorgeous	noise
luscious	noise
heavenly	noise
sinful	noise
guilty	noise
guilt-free	keep — diet ('guilt free')
indulgent	noise
indulgence	noise
dreamy	noise
dreamy-creamy	noise
ozs	size
oz.	size
pkg	size word
gms	size
qt	size word
qty	size word
upc	noise
gtin	noise
sku	noise
brand	noise
inc	noise
co	noise
corp	noise
corporation	noise
incorporated	noise
limited	noise
ltd	noise
holdings	noise
group	noise
groups	noise
l.l.c	noise
llc	noise
plc	noise
gmbh	noise
americas	noise
international	noise
global	noise
worldwide	noise
us	noise
usa	noise
domestic	noise
imported	noise
import	noise
export	noise
local	noise
regional	noise
national	noise
private	noise
public	noise
generic	noise
namebrand	noise
storebrand	noise
ownerbrand	noise
exclusive	noise
limited-edition	noise
limited	noise
edition	noise
specialedition	noise
specialty	noise
variety	noise
varieties	noise
ozs.	size
ounce.	size
oz.	size
sz	size
ct	size
ct.	size
units	size
unit	size
ea	size
ea.	size
each	size
piece	size
pieces	size
slice	keep — cut
slices	keep — cut
package	size
packages	size
packet	size
packets	size
