#token	notes
sweetened	sweetened
unsweetened	unsweetened
sweet	sweet
unsweet	unsweetened (compound)
sugar	sugar (modifier when paired)
sugared	sugared
sugarfree	sugar-free
sugarless	sugarless
sweetener	contains sweetener
sweeteners	contains sweeteners
sweetly	sweetly
lightly	'lightly sweetened' compound
unsugared	unsugared
nosugar	'no sugar added' compound
nsa	no sugar added abbreviation
zerosugar	zero sugar
zerocalorie	zero calorie
splenda	sucralose brand
sucralose	sucralose
stevia	stevia
aspartame	aspartame
xylitol	xylitol
erythritol	erythritol
allulose	allulose
monkfruit	monk fruit
agave	agave
maple	maple (also flavor)
honey	honey (also flavor)
molasses	molasses (also flavor)
brownsugar	brown sugar
cane	cane sugar
caster	caster sugar
powderedsugar	powdered sugar
syrup	syrup (also form)
