gtin_upc,fdc_id,product_description,retail_type,supercategory,category_group,category,primary_food,form,cut,prep_state,storage,flavor,flavor_blend,inclusions,claims,dish_type,pack_format,components,retail_leaf,confidence,needs_review,debug_matches
41570054185,2500391,"UNSWEETENED CHOCOLATE ALMONDMILK, UNSWEETENED CHOCOLATE",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,chocolate,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Chocolate Unsweetened,1.0,[],"{""CATEGORY"":[""chocolate"",""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""chocolate"",""almond"",""milk""],""FORM"":[""chocolate"",""milk""],""SWEETENER"":[""unsweetened""]}"
41570131299,2469256,"UNSWEETENED CHOCOLATE ALMONDMILK, UNSWEETENED CHOCOLATE",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,chocolate,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Chocolate Unsweetened,1.0,[],"{""CATEGORY"":[""chocolate"",""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""chocolate"",""almond"",""milk""],""FORM"":[""chocolate"",""milk""],""SWEETENER"":[""unsweetened""]}"
99482493745,2465975,"UNSWEETENED CHOCOLATE ALMONDMILK, UNSWEETENED CHOCOLATE",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,chocolate,[],[],"{""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Chocolate Unsweetened,1.0,[],"{""CATEGORY"":[""chocolate"",""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""chocolate"",""almond"",""milk""],""FORM"":[""chocolate"",""milk""],""SWEETENER"":[""unsweetened""]}"
99482493769,2485358,"UNSWEETENED CHOCOLATE ORGANIC ALMONDMILK, UNSWEETENED CHOCOLATE",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,chocolate,[],[],"{""diet"":[""organic""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Chocolate Unsweetened,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""chocolate"",""almond"",""milk""],""DIET"":[""organic""],""FLAVOR_UNIVERSAL"":[""chocolate"",""almond"",""milk""],""FORM"":[""chocolate"",""milk""],""SWEETENER"":[""unsweetened""]}"
99482494087,2506510,"UNSWEETENED CHOCOLATE ORGANIC ALMONDMILK, UNSWEETENED CHOCOLATE",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,chocolate,[],[],"{""diet"":[""organic""],""sweetener"":[""unsweetened""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Chocolate Unsweetened,1.0,[],"{""BRAND_NOISE"":[""organic""],""CATEGORY"":[""chocolate"",""almond"",""milk""],""DIET"":[""organic""],""FLAVOR_UNIVERSAL"":[""chocolate"",""almond"",""milk""],""FORM"":[""chocolate"",""milk""],""SWEETENER"":[""unsweetened""]}"
508575,1908710,"ALMOND BEVERAGE, ORIGINAL",single,Beverage,Beverages,Beverage,almond,beverage,,,,original,[],[],{},,,[],Beverage > Beverages > Beverage > Original,1.0,[],"{""CATEGORY"":[""almond""],""FLAVOR_UNIVERSAL"":[""almond"",""original""],""FORM"":[""beverage""],""STOPWORD"":[""beverage""]}"
21130075645,2617694,"ORIGINAL ALMOND BEVERAGE, ORIGINAL",single,Beverage,Beverages,Beverage,almond,beverage,,,,original,[],[],{},,,[],Beverage > Beverages > Beverage > Original,1.0,[],"{""CATEGORY"":[""almond""],""FLAVOR_UNIVERSAL"":[""original"",""almond""],""FORM"":[""beverage""],""STOPWORD"":[""beverage""]}"
21130076543,2617697,"ORIGINAL ALMOND BEVERAGE, ORIGINAL",single,Beverage,Beverages,Beverage,almond,beverage,,,,original,[],[],{},,,[],Beverage > Beverages > Beverage > Original,1.0,[],"{""CATEGORY"":[""almond""],""FLAVOR_UNIVERSAL"":[""original"",""almond""],""FORM"":[""beverage""],""STOPWORD"":[""beverage""]}"
25000120046,2214195,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
25293000988,2466666,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
25293001480,2466729,"ORIGINAL ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],{},,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""]}"
25293002166,2618006,"LIGHT ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""fat"":[""light""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""almond"",""milk""],""FAT"":[""light""],""FLAVOR_UNIVERSAL"":[""almond"",""milk"",""original""],""FORM"":[""milk""],""STORAGE"":[""light""]}"
25293002296,2082789,"ORIGINAL PROTEIN+FIBER ALMONDMILK, ORIGINAL",single,Beverage,Plant-based Milk,Almond Milk,almond,milk,,,,original,[],[],"{""diet"":[""protein"",""fiber""]}",,,[],Beverage > Plant-based Milk > Almond Milk > Original,1.0,[],"{""CATEGORY"":[""protein"",""fiber"",""almond"",""milk""],""DIET"":[""protein"",""fiber""],""FLAVOR_UNIVERSAL"":[""original"",""almond"",""milk""],""FORM"":[""milk""],""STOPWORD"":[""and""]}"
