rank,token1,token2,frequency,axis_token1,axis_token2,sample_titles
1,semi,sweet,446,,STOPWORD,SEMI-SWEET CHOCOLATE BAKED INTO FUDGE BROWNIE PERFECTION WITH SWEET PINK AND WHITE FROSTIN || SEMI-SWEET CHOCOLATE BAKED INTO FUDGE BROWNIE PERFECTION WITH BLACK AND ORANGE FROSTING AN
2,flamin,hot,425,,STOPWORD,"CHICKEN BREAST FRIES, FLAMIN' HOT || BREADED CHICKEN WING SECTIONS FLAMIN' HOT WINGS"
3,atlantic,salmon,321,,CATEGORY,ATLANTIC SALMON TSUNAMI BURRITO || ATLANTIC SALMON FRITTATA
4,harris,teeter,305,,,"HARRIS TEETER, BAKED BEANS, MAPLE , BACON || HARRIS TEETER, HOME STYLE BAKED BEANS"
5,steam,in,299,,STOPWORD,"SEASONED GARBANZO BEAN, LENTIL & TOMATO ORGANIC STEAM IN BAG BLEND, SEASONED GARBANZO BEAN || STEAM-IN-BAG CLASSIC VEGETABLES CUT GREEN BEANS"
6,penne,rigate,289,DISH_TYPE,,"RUSTICHELLA D'ABRUZZO, PENNE RIGATE PASTA, ITALIAN MACARONI PRODUCT || BRONZE DIE ORGANIC PENNE RIGATE PASTA"
7,birds,eye,282,,,"Birds Eye Skillets Garlic Butter Green Beans, Frozen Vegetable, 11 oz. Bag || Birds Eye Steamfresh Cut Green Beans, Frozen Vegetables, 10 oz. Bag"
8,simmer,sauce,275,,FORM,"KOREAN INSPIRED BEEF FRESH CABBAGE, BABY SPINACH & CARROTS, BROWN RICE, SEASONED BEEF, AND || PUNJABI STYLE BUTTER CHICKEN COOKING SAUCE FOR CHICKEN WITH CREAM AND BUTTER, INFUSED WITH"
9,snyder,of,273,,STOPWORD,"SNYDER'S OF HANOVER, SALSA CON QUESO, MEDIUM, MEDIUM || SNYDER OF BERLIN, POP CORN, CHEESE, CHEESE"
10,whipping,cream,267,,COLOR,"ABDALLAH, WHIPPING CREAM TRUFFLE, RASPBERRY, RASPBERRY || PLANT CREAM HEAVY WHIPPING CREAM ALTERNATIVE"
11,tri,color,265,,,"TRI-COLOR ORGANIC KIDNEY, PINTO, BLACK BEANS, TRI-COLOR || TRI-COLOR ORGANIC KIDNEY, PINTO, BLACK BEANS, TRI-COLOR"
12,of,hanover,265,STOPWORD,,"SNYDER'S OF HANOVER, SALSA CON QUESO, MEDIUM, MEDIUM || SNYDER'S OF HANOVER, POTATO CHIPS, KOSHER DILL, KOSHER DILL"
13,rising,crust,264,,STOPWORD,"PHILLY STEAK SLICED STEAK, CARAMELIZED ONION, GREEN PEPPER, MOZZARELLA, PROVOLONE, CHEESE  || BACON JALAPENO RISING CRUST PIZZA, BACON JALAPENO"
14,stone,ground,257,,PREPARATION_STATE,ENRICHED STONE GROUND SELF-RISING WHITE CORN MEAL MIX || STONE GROUND CORNBREAD MIX AND CORNMEAL MUFFIN MIX
15,pork,rinds,256,CATEGORY,,"SANCOCHO CHICHARRONES LARGE PORK RINDS, SANCOCHO || OVEN BAKED PORK RINDS, CILANTRO LIME"
16,pulled,pork,252,,CATEGORY,"PULLED PORK BAR || PULLED PORK JERKY, SMOKE"
17,crinkle,cut,250,,CUT,"CINNAMON UNIQUELY CRINKLE CUT ORGANIC RED APPLE CHIPS, CINNAMON || SALTED CRINKLE CUT BANANA CHIPS, SALTED"
18,cage,free,248,,STOPWORD,"GRIDDLE PANCAKE BREAKFAST PLANT BASED SAUSAGE WITH CAGE FREE EGGS AND VEGAN CHEESE SAUCE T || CAGE-FREE SCRAMBLED EGGS, POTATOES, AND CHEDDAR CHEESE NOW COME WITH A SIDE OF OUR DELICIO"
19,movie,theater,246,,,"Gushers Valentines Movie Theater Box Fruit Flavored Snacks || RED BARN, MOVIE THEATER POPPED CORN, BUTTER, BUTTER"
20,manzanilla,olives,244,,CATEGORY,"SARDINES IN EXTRA VIRGIN OLIVE OIL WITH SLICED SPANISH MANZANILLA OLIVES, EXTRA VIRGIN OLI || SARDINES IN EXTRA VIRGIN OLIVE OIL WITH SLICED SPANISH MANZANILLA OLIVES, EXTRA VIRGIN OLI"
21,yogurt,alternative,241,FORM,,"APPLE CINNAMON FLAVORED 25% LESS SUGAR ALMONDMILK YOGURT ALTERNATIVE, APPLE CINNAMON || VANILLA ALMONDMILK YOGURT ALTERNATIVE, VANILLA"
22,giant,eagle,233,STOPWORD,,"GIANT EAGLE, RED DELICIOUS APPLES || GIANT EAGLE, SLICED BACON"
23,corned,beef,233,,CATEGORY,"LIBBYS Corned Beef With Onion, 12 OZ || LIBBYS Corned Beef With Chili, 12 OZ"
24,dipping,sauce,231,,FORM,"PANCAKE BREAKFAST PORK AND TURKEY & A MAPLE FLAVORED DIPPING SAUCE FULLY COOKED SAUSAGE LI || 5-CHEESE MOZZARELLA, RICOTTA, PROVOLONE, PARMESAN & ROMANO CHEESES STUFFED IN A GOLDEN CRU"
25,pork,skins,229,CATEGORY,,"PORK SKINS CHICHARRONES, CHORIZO SEASONING || CHILI & LIME PLANTAIN AND PORK SKINS WITH CASSAVA CHIPS PARTY MIX, CHILI & LIME"
26,sports,drink,226,,STOPWORD,"STRAWBERRY BANANA SPORTS DRINK, STRAWBERRY; BANANA || STRAWBERRY BANANA SPORTS DRINK, STRAWBERRY; BANANA"
27,raw,unfiltered,224,PREPARATION_STATE,,"BLACK GUM TUPELO HOLLY BLEND RAW & UNFILTERED HONEY, BLACK GUM TUPELO HOLLY BLEND || ACTIVATED CHARCOAL WITH RAW & UNFILTERED APPLE CIDER VINEGAR, APPLE CIDER"
