fdc_id,title,old_path,new_path,rationale,confidence
2569976,"ONION RECIPE, SOUP & DIP MIX, ONION",Pantry > Soup > French Onion Soup > Mix,Pantry > Dips & Spreads > French Onion Dip,dip-titled-but-wrong-path heuristic,0.95
2570238,LOW SODIUM ONION SOUP & DIP MIX,Pantry > Soup > Low Sodium,Pantry > Mixes > Soup & Dip Mix,dip-titled-but-wrong-path heuristic,0.95
2658990,"SPINACH & ARTICHOKE CHEESE DIP, SPINACH & ARTICHOKE",Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
2398395,"ARTICHOKE SPINACH CHEESE DIP, ARTICHOKE SPINACH",Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
1886077,"FRESH & NATURAL CHEESE DIP, ARTICHOKE SPINACH & PARSLEY",Pantry > Canned Vegetables > Spinach > Natural,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
1918872,"CHEESE DIP, SPINACH & ARTICHOKE",Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
2434451,"CHEESE DIP, SPINACH & ARTICHOKE",Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
2638392,"SPINACH & PARMESAN CHEESE DIP, SPINACH & PARMESAN",Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
2400710,"SPINACH ARTICHOKE & PARMESAN DIP, SPINACH ARTICHOKE & PARMESAN",Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
2627676,"SPINACH ARTICHOKE PARMESAN DAIRY DIP, SPINACH ARTICHOKE PARMESAN",Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
2272142,"PREMIUM ARTICHOKE SPINACH 4 CHEESE DIP, ARTICHOKE SPINACH",Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
1858045,"BOURSIN, CHEESE DIP, SPINACH & ARTICHOKE, SPINACH & ARTICHOKE",Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
1922037,"SPINACH & ARTICHOKE CHEESE DIP, SPINACH & ARTICHOKE",Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
1919779,SPINACH AVOCADO DIP,Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
2465791,"SPINACH DIP WITH PRETZELS, SPINACH",Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
1436193,"SPINACH & ARTICHOKE CREAM CHEESE DIP AND PITA CHIPS, SPINACH & ARTICHOKE",Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
2119574,"DIP 'N' CHIP, FRENCH ONION",Pantry > Soup > French Onion Soup,Pantry > Dips & Spreads > French Onion Dip,dip-titled-but-wrong-path heuristic,0.95
2285343,"SOUR CREAM DIP, SPINACH",Pantry > Canned Vegetables > Spinach,Pantry > Dips & Spreads > Spinach Dip,dip-titled-but-wrong-path heuristic,0.95
2036711,"KROGER, SPECIAL RECIPE FRENCH ONION DIP WITH SOUR CREAM",Pantry > Soup > French Onion Soup,Pantry > Dips & Spreads > French Onion Dip,dip-titled-but-wrong-path heuristic,0.95
2213471,"FRENCH ONION SOUR CREAM DIP, FRENCH ONION",Pantry > Soup > French Onion Soup,Pantry > Dips & Spreads > French Onion Dip,dip-titled-but-wrong-path heuristic,0.95
2069297,"SOUR CREAM DIP, FRENCH ONION, FRENCH ONION",Pantry > Soup > French Onion Soup,Pantry > Dips & Spreads > French Onion Dip,dip-titled-but-wrong-path heuristic,0.95
2383043,"FRENCH ONION SOUR CREAM DIP, FRENCH ONION",Pantry > Soup > French Onion Soup,Pantry > Dips & Spreads > French Onion Dip,dip-titled-but-wrong-path heuristic,0.95
2424527,"FRENCH ONION SOUR CREAM DIP, FRENCH ONION",Pantry > Soup > French Onion Soup,Pantry > Dips & Spreads > French Onion Dip,dip-titled-but-wrong-path heuristic,0.95
2019216,FRENCH ONION SOUR CREAM DIP,Pantry > Soup > French Onion Soup,Pantry > Dips & Spreads > French Onion Dip,dip-titled-but-wrong-path heuristic,0.95
2019229,"SOUR CREAM DIP, FRENCH ONION, FRENCH ONION",Pantry > Soup > French Onion Soup,Pantry > Dips & Spreads > French Onion Dip,dip-titled-but-wrong-path heuristic,0.95
2415168,"FRENCH ONION SOUR CREAM DIP, FRENCH ONION",Pantry > Soup > French Onion Soup,Pantry > Dips & Spreads > French Onion Dip,dip-titled-but-wrong-path heuristic,0.95
