fdc_id,title,stripped_flavors,kept_flavors,ingredients_snippet
2169513,APPLE CINNAMON FLAVORED 25% LESS SUGAR ALMONDMILK YOGURT ALT,apple,cinnamon,"Almondmilk (Altered Water, Almonds), Cane Sugar, Apples, Fava Bean Protein, Starch, Organic Coconut Oil, Pectin, Calcium"
1530207,"CRAFTY COOKING KITS, DISNEY CARAMEL APPLE KIT",apple,,"Caramel: Corn Syrup, Sugar, Partially Hydrogenated Coconut Oil, Nonfat Milk, Mono and Diglycerides, Salt, Soy Lecithin, "
1817415,APPLE NOODLE KUGEL,apple,cinnamon,"Cooked Egg Noodles (Water, Durum Flour, Egg Yolk, Egg, Niacin, Iron (Iron), Thiamine, Riboflavin, Folic Acid), Pineapple"
598892,DRIED APPLE SNACK,apple,,Arctic Golden Apples
2476414,APPLE CHEESE CARAMEL TRAY,apple,caramel,"Apples with Calcium Ascorbate, Grape, Caramel (High Fructose Corn Syrup, Corn Syrup, Water, Hydrogenated Coconut Oil, Su"
602794,DRIED APPLE SNACK,apple,,Arctic Granny Apples
2018248,"FUSION ORGANIC DRIED FRUIT SNACK, APPLE CINNAMON, APPLE CINN",apple,cinnamon,"Organic Seedless Raisins, Organic Dried Apples, Organic Ground Cinnamon."
2057425,APPLE CINNAMON FUSION ORGANIC DRIED FRUIT,apple,cinnamon,"Organic Seedless Raisins, Organic Dried Apples, Organic Ground Cinnamon."
2058106,APPLE HARVEST CRUNCH DRIED FRUIT SNACKS,apple,,"Apples, And Nothing Else."
2119886,APPLE HARVEST CRUNCH DRIED FRUIT SNACKS,apple,,"Apples, And Nothing Else."
2472146,"SWEET PERSIMMON, TART APPLE & TANGY PEACH ORCHARD BLEND SKIN",apple,"persimmon,peach","Peaches, Apples, Persimmons. (May Contain Seed and/or Pit Fragments.)"
2560965,"SOUR APPLE MARTINI COCKTAIL MIX, APPLE",apple,,"Water, High Fructose Corn Syrup, Citric Acid, Sodium Citrate, Sodium Benzoate (Preservative), Natural and Artificial Fla"
2401159,"APPLE CHEER FLAVORED WATER BEVERAGE, APPLE CHEER",apple,,"Filtered Water, Organic Lemon Juice Concentrate, Organic Flavors."
2030810,CLASSIC APPLE SAUCE CUPS,apple,,"Apples, High Fructose Corn Syrup, Water, Vitamin C (Vitamin C)."
1861801,"SPARTAN, APPLE SAUCE",apple,,"Apples, Water, Vitamin C (Vitamin C)."
1615027,ORIGINAL APPLE SAUCE,apple,,"Apples, Corn Syrup, High Fructose Corn Syrup, Water, Vitamin C (To Maintain Color)."
2328920,"CINNAMON ORGANIC APPLE CHIPS, CINNAMON",cinnamon,,Organic Apples.
2024189,"CINNAMON ORGANIC APPLE CHIPS, CINNAMON",cinnamon,,Organic Apples.
2099757,"APPLESAUCE, APPLE",apple,,"Apples, High Fructose Corn Syrup, Water) Vitamin C (Vitamin C)."
