case	fdc_id	source_fields	has_ing_full	has_ing_top5	has_llm_evidence_block	has_ngrams	has_role_candidates	user_payload_chars
diabolical_gluten_free_chocolate_chip_cookies	diabolical_cookie_fixture	3	False	False	False	False	False	417
diabolical_organic_low_sodium_chicken_broth_claim_order	diabolical_broth_fixture	3	False	False	False	False	False	411
diabolical_whole_peeled_tomatoes_basil	diabolical_tomatoes_fixture	3	False	False	False	False	False	424
diabolical_honey_mustard_pretzel_pieces	diabolical_pretzel_fixture	3	False	False	False	False	False	402
diabolical_everything_bagel_seasoning	diabolical_seasoning_fixture	3	False	False	False	False	False	441
diabolical_gluten_free_almond_flour_tortillas	diabolical_tortilla_fixture	3	False	False	False	False	False	410
diabolical_pineapple_coconut_water	diabolical_coconut_water_fixture	3	False	False	False	False	False	408
diabolical_spinach_artichoke_dip_components	diabolical_dip_fixture	3	False	False	False	False	False	397
diabolical_broccoli_cheddar_soup_not_cheese	diabolical_soup_fixture	3	False	False	False	False	False	395
diabolical_pizza_crust_mix_not_pizza	diabolical_pizza_crust_mix_fixture	3	False	False	False	False	False	413
diabolical_protein_parfait_not_cereal	2498072	22	True	True	True	True	True	11753
diabolical_chicken_burgers_not_cheese_or_vegetarian	2256606	21	True	True	True	True	True	8328
diabolical_vague_tuscan_meat_cheese_infer_sandwich	2064419	17	True	True	True	True	True	3575
diabolical_hard_aged_cheese_no_unproven_specific_guess	2509312	18	True	True	True	True	True	3310
diabolical_hatch_green_chile_asiago_cheese_crisps	2319959	19	True	True	True	True	True	8537
diabolical_sesame_garlic_chicken_meal_starter	602056	21	True	True	True	True	True	6939
diabolical_chicken_apple_sausage_flatbread_breakfast_sandwich	2629284	21	True	True	True	True	True	10864
